SESU_ID,canonical_loss_event_year,cell,signed_distance_km,side,loss_fraction_2001_2012,gain_fraction_2000_2012,overlap_fraction_2000_2012,forest_eligible_2000,landscape_group,park_side,in_5km,in_10km,in_20km,canonical_loss_crossed_25pct_by_2012,any_native_gain,any_native_overlap,gain_fraction_ge_10pct,gain_fraction_ge_25pct,gain_fraction_ge_50pct,governance_profile_at_loss
1,2002,152485,43.7864140625,outside,0.596379816532135,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,152928,45.8312109375,outside,0.39632847905159,0.00607330212369561,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,153327,63.89053125,outside,0.256795346736908,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,153773,63.957015625,outside,0.358626872301102,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,156926,52.680640625,outside,0.317262589931488,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,163287,14.5773798828125,outside,0.377374172210693,0,0,TRUE,Depression,outside,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,164530,45.13590625,outside,0.43130287528038,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,164531,44.74930078125,outside,0.469673156738281,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,164584,27.950849609375,outside,0.341770589351654,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,164973,46.4004296875,outside,0.541842937469482,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,164975,45.607015625,outside,0.693377614021301,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,164976,45.2133828125,outside,0.74858433008194,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,164977,44.82187109375,outside,0.64342737197876,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165420,46.10043359375,outside,0.83210813999176,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165421,45.700109375,outside,0.608548879623413,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165423,44.90545703125,outside,0.747366905212402,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165424,44.511234375,outside,0.911261320114136,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165425,44.11915625,outside,0.600422024726868,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165426,43.72928125,outside,0.422631978988647,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165431,41.8150703125,outside,0.567914485931397,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165432,41.43971484375,outside,0.504440724849701,0.00607141945511103,0.00303570972755551,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165867,45.8039296875,outside,0.747435033321381,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165868,45.4009921875,outside,0.577108085155487,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165869,45,outside,0.665695786476135,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165870,44.6010078125,outside,0.613928318023682,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,165875,42.63801171875,outside,0.413912087678909,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,166313,45.91840625,outside,0.492786198854446,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,166314,45.51098828125,outside,0.729449570178986,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
1,2002,166315,45.10543359375,outside,0.520453631877899,0,0,TRUE,Depression,outside,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Neither actor dominant
