SESU_ID,landscape_label,year,outcome,outcome_label,side,side_label,n,y,proportion,governance_profile,profile_label,source_file
1,Depression,2003,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7589,1,0.0131769666622743,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2004,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9999,6,0.06000600060006,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2004,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7588,5,0.0658935160780179,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2005,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9993,2,0.0200140098068648,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2005,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7583,3,0.0395621785572992,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2006,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9991,8,0.0800720648583725,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2006,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7580,0,0,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2007,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9983,5,0.0500851447460683,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2007,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7580,1,0.0131926121372032,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2008,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9978,14,0.140308679094007,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2008,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7579,8,0.105554822535955,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2009,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9964,20,0.200722601364914,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2009,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7571,13,0.171707832518822,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2010,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9944,5,0.0502815768302494,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2010,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7558,3,0.0396930404869013,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2011,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9939,22,0.221350236442298,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2011,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7555,17,0.225016545334216,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2012,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9917,93,0.937783603912474,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2012,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7538,48,0.636773680021226,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2013,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9824,3,0.0305374592833876,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2013,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7490,3,0.0400534045393859,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2014,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9821,5,0.0509113124936361,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2014,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7487,0,0,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2015,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9816,3,0.0305623471882641,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2015,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7487,3,0.040069453719781,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2016,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9813,12,0.122286762457964,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2016,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7484,2,0.0267236771779797,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2017,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9801,8,0.0816243240485665,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2017,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7482,1,0.0133654103180968,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2018,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9793,6,0.0612682528336567,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2018,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7481,1,0.0133671968988103,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2019,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9787,10,0.102176356391131,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2019,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7480,4,0.053475935828877,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2020,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9777,5,0.0511404316252429,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2020,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7476,2,0.0267522739432852,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2021,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9772,11,0.112566516577978,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2021,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7474,0,0,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2022,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,9761,4,0.0409794078475566,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
1,Depression,2022,tree_cover_loss,Tree-cover loss,interior_facing,Inside,7474,4,0.0535188654000535,Park dominant,Park-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2001,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,11987,0,0,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2001,tree_cover_loss,Tree-cover loss,interior_facing,Inside,12936,0,0,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2002,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,11987,0,0,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2002,tree_cover_loss,Tree-cover loss,interior_facing,Inside,12936,0,0,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2003,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,11987,2,0.0166847418036206,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2003,tree_cover_loss,Tree-cover loss,interior_facing,Inside,12936,0,0,Neither actor dominant,Fragmented control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
3,Plateau,2004,tree_cover_loss,Tree-cover loss,exterior_facing,Outside,11985,0,0,Militia dominant,Militia-centred control,analysis_spatial_falsification_revised_dev/tables/boundary_surface_summary.csv
