analysis_type,outcome,threshold,spatial_domain,boundary_id,boundary_center_km,boundary_family,analysis_set,profile,estimate,standard_error,lower_interval,upper_interval,fit_validity,source_file,outcome_label,profile_label,actual_boundary,primary_spaced_outer,accepted
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+055,55,outer_pseudo,all_valid_outer,Militia dominant,-0.143152924133479,0.0252228599678054,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+055,55,outer_pseudo,all_valid_outer,Park dominant,-0.14742078288561,0.0236437792579588,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+060,60,outer_pseudo,primary_spaced_outer;all_valid_outer,Neither actor dominant,-0.147988085708985,0.037160467977483,-0.220821264593506,-0.0751549068244649,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Fragmented control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+060,60,outer_pseudo,primary_spaced_outer;all_valid_outer,Militia dominant,-0.207741115149407,0.0412685101984265,-0.288625908833947,-0.126856321464867,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Militia-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+060,60,outer_pseudo,primary_spaced_outer;all_valid_outer,Park dominant,-0.130092966382015,0.0383622187131529,-0.205281533426843,-0.054904399337187,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_profile_contrasts.csv,Fire,Park-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Neither actor dominant,1.09701286442814,0.0218281698655363,1.05423043764327,1.13979529121302,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Militia dominant,1.10058490251396,0.0235064435195062,1.0545131198111,1.14665668521682,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Park dominant,1.12052626240255,0.159346547930167,0.808212767398635,1.43283975740646,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Neither actor dominant,1.011304597747,0.098323770145936,0.818593549436771,1.20401564605723,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Militia dominant,1.10875388787306,0.0102666543803154,1.08863161504592,1.1288761607002,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Militia-centred control,FALSE,FALSE,TRUE
