Outcome,Boundary centre,Boundary role,Comparison,Estimate,Lower 95%,Upper 95%,Fit validity,Boundary-specificity classification
Agricultural expansion,40,primary spaced outer boundary,Park-centred control minus Fragmented control,-0.37381302289078,-0.936270132030968,0.188644086249407,accepted two-stage estimate,
Agricultural expansion,60,primary spaced outer boundary,Park-centred control minus Fragmented control,0.255603918952815,-0.104714606569628,0.615922444475259,accepted two-stage estimate,
Fire,-20,inner descriptive check,Militia-centred control minus Fragmented control,-0.165220284643166,-0.375402742296812,0.0449621730104807,strict-valid,
Fire,-15,inner descriptive check,Militia-centred control minus Fragmented control,-0.083578681681433,-0.24902268215744,0.0818653187945738,strict-valid,
Fire,0,legal boundary,Militia-centred control minus Fragmented control,-0.159579306386865,-0.246668519832352,-0.0724900929413787,strict-valid,
Fire,20,primary spaced outer boundary,Militia-centred control minus Fragmented control,0.0908928669195537,,,finite/numerically stable but not strict-valid,
Fire,40,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.0353398895432382,,,finite/numerically stable but not strict-valid,
Fire,60,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.0597530294404213,-0.168583308711462,0.049077249830619,strict-valid,
Fire,-20,inner descriptive check,Park-centred control minus Militia-centred control,-0.0230980718590862,-0.234089789442103,0.187893645723931,strict-valid,
Fire,-15,inner descriptive check,Park-centred control minus Militia-centred control,0.0386633917172707,-0.127973878674923,0.205300662109464,strict-valid,
Fire,0,legal boundary,Park-centred control minus Militia-centred control,0.0571190946708212,-0.0310364917718946,0.145274681113537,strict-valid,
Fire,20,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.0349180486074159,,,finite/numerically stable but not strict-valid,
Fire,40,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.134717232928318,,,finite/numerically stable but not strict-valid,
Fire,60,primary spaced outer boundary,Park-centred control minus Militia-centred control,0.0776481487673916,-0.0327728196101633,0.188069117144946,strict-valid,
Fire,-20,inner descriptive check,Park-centred control minus Fragmented control,-0.188318356502252,-0.389865821232281,0.0132291082277776,strict-valid,
Fire,-15,inner descriptive check,Park-centred control minus Fragmented control,-0.0449152899641623,-0.203264906447207,0.113434326518882,strict-valid,
Fire,0,legal boundary,Park-centred control minus Fragmented control,-0.102460211716044,-0.186033583524105,-0.0188868399079833,strict-valid,
Fire,20,primary spaced outer boundary,Park-centred control minus Fragmented control,0.0559748183121378,,,finite/numerically stable but not strict-valid,
Fire,40,primary spaced outer boundary,Park-centred control minus Fragmented control,-0.170057122471556,,,finite/numerically stable but not strict-valid,
Fire,60,primary spaced outer boundary,Park-centred control minus Fragmented control,0.0178951193269703,-0.0867708548039138,0.122561093457854,strict-valid,
Tree-cover loss,-20,inner descriptive check,Militia-centred control minus Fragmented control,0.00357203808581556,-0.0568468981294958,0.0639909743011269,accepted two-stage estimate,
Tree-cover loss,-15,inner descriptive check,Militia-centred control minus Fragmented control,0.322287632240801,-0.0761348043780697,0.720710068859671,accepted two-stage estimate,
Tree-cover loss,0,legal boundary,Militia-centred control minus Fragmented control,-0.0517637594727072,-0.814222349695374,0.710694830749959,accepted two-stage estimate,
Tree-cover loss,20,primary spaced outer boundary,Militia-centred control minus Fragmented control,0.525013650214508,-0.00699262985825266,1.05701993028727,accepted two-stage estimate,
Tree-cover loss,40,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.200252517065528,-0.659948609111883,0.259443574980826,accepted two-stage estimate,
Tree-cover loss,60,primary spaced outer boundary,Militia-centred control minus Fragmented control,0.407565482270049,-0.0808556551053563,0.895986619645454,accepted two-stage estimate,
Tree-cover loss,-20,inner descriptive check,Park-centred control minus Militia-centred control,0.0199413598885878,-0.298010341394283,0.337893061171459,accepted two-stage estimate,
Tree-cover loss,-15,inner descriptive check,Park-centred control minus Militia-centred control,-0.048376262250132,-0.598067473553398,0.501314949053135,accepted two-stage estimate,
Tree-cover loss,0,legal boundary,Park-centred control minus Militia-centred control,-0.532408868712269,-1.32116053973269,0.256342802308155,accepted two-stage estimate,
