Outcome,Boundary centre,Boundary role,Comparison,Estimate,Lower 95%,Upper 95%,Fit validity,Boundary-specificity classification
Fire,20,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.0349180486074159,,,finite/numerically stable but not strict-valid,
Fire,25,dense outer gradient,Park-centred control minus Militia-centred control,0.112711616713697,,,finite/numerically stable but not strict-valid,
Fire,30,dense outer gradient,Park-centred control minus Militia-centred control,0.0689938012518132,-0.0212040358070246,0.159191638310651,strict-valid,
Fire,35,dense outer gradient,Park-centred control minus Militia-centred control,-0.0840268571024403,,,finite/numerically stable but not strict-valid,
Fire,40,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.134717232928318,,,finite/numerically stable but not strict-valid,
Fire,45,dense outer gradient,Park-centred control minus Militia-centred control,-0.131314551144438,,,finite/numerically stable but not strict-valid,
Fire,50,dense outer gradient,Park-centred control minus Militia-centred control,-0.0783049244957237,,,finite/numerically stable but not strict-valid,
Fire,55,dense outer gradient,Park-centred control minus Militia-centred control,-0.00426785875213168,,,finite/numerically stable but not strict-valid,
Fire,60,primary spaced outer boundary,Park-centred control minus Militia-centred control,0.0776481487673916,-0.0327728196101633,0.188069117144946,strict-valid,
Tree-cover loss,-20,inner descriptive check,Militia-centred control minus Fragmented control,0.00357203808581556,-0.0568468981294958,0.0639909743011269,accepted two-stage estimate,
Tree-cover loss,-15,inner descriptive check,Militia-centred control minus Fragmented control,0.322287632240801,-0.0761348043780697,0.720710068859671,accepted two-stage estimate,
Tree-cover loss,0,legal boundary,Militia-centred control minus Fragmented control,-0.0517637594727072,-0.814222349695374,0.710694830749959,accepted two-stage estimate,
Tree-cover loss,15,dense outer gradient,Militia-centred control minus Fragmented control,-0.0141604143357168,-0.526103362894455,0.497782534223022,accepted two-stage estimate,
Tree-cover loss,20,primary spaced outer boundary,Militia-centred control minus Fragmented control,0.525013650214508,-0.00699262985825266,1.05701993028727,accepted two-stage estimate,
Tree-cover loss,25,dense outer gradient,Militia-centred control minus Fragmented control,0.0169446302067163,-0.718305007149479,0.752194267562911,accepted two-stage estimate,
Tree-cover loss,30,dense outer gradient,Militia-centred control minus Fragmented control,-0.194587481199509,-0.897433841527683,0.508258879128664,accepted two-stage estimate,
Tree-cover loss,35,dense outer gradient,Militia-centred control minus Fragmented control,0.0481753822528827,-0.445859681295232,0.542210445800997,accepted two-stage estimate,
Tree-cover loss,40,primary spaced outer boundary,Militia-centred control minus Fragmented control,-0.200252517065528,-0.659948609111883,0.259443574980826,accepted two-stage estimate,
Tree-cover loss,45,dense outer gradient,Militia-centred control minus Fragmented control,-0.518330093748028,-0.960494556118531,-0.0761656313775261,accepted two-stage estimate,
Tree-cover loss,50,dense outer gradient,Militia-centred control minus Fragmented control,-0.365294677561372,-0.994199542183883,0.263610187061138,accepted two-stage estimate,
Tree-cover loss,55,dense outer gradient,Militia-centred control minus Fragmented control,0.126719293845609,-0.115096168569911,0.368534756261128,accepted two-stage estimate,
Tree-cover loss,60,primary spaced outer boundary,Militia-centred control minus Fragmented control,0.407565482270049,-0.0808556551053563,0.895986619645454,accepted two-stage estimate,
Tree-cover loss,-20,inner descriptive check,Park-centred control minus Fragmented control,0.0235133979744034,-0.295382080258577,0.342408876207384,accepted two-stage estimate,
Tree-cover loss,-15,inner descriptive check,Park-centred control minus Fragmented control,0.273911369990669,-0.316572745402612,0.864395485383949,accepted two-stage estimate,
Tree-cover loss,0,legal boundary,Park-centred control minus Fragmented control,-0.584172628184976,-1.25535322942294,0.0870079730529867,accepted two-stage estimate,
Tree-cover loss,15,dense outer gradient,Park-centred control minus Fragmented control,-0.782790487785151,-1.16248613615424,-0.403094839416062,accepted two-stage estimate,
Tree-cover loss,20,primary spaced outer boundary,Park-centred control minus Fragmented control,-0.0244595924465097,-0.456110724926291,0.407191540033272,accepted two-stage estimate,
Tree-cover loss,25,dense outer gradient,Park-centred control minus Fragmented control,-0.116471257201828,-0.772419542459731,0.539477028056074,accepted two-stage estimate,
Tree-cover loss,30,dense outer gradient,Park-centred control minus Fragmented control,0.15140916215879,-0.493573150375077,0.796391474692656,accepted two-stage estimate,
Tree-cover loss,35,dense outer gradient,Park-centred control minus Fragmented control,0.740222019446801,0.338810409844398,1.1416336290492,accepted two-stage estimate,
Tree-cover loss,40,primary spaced outer boundary,Park-centred control minus Fragmented control,0.125999711218493,-0.219728869757321,0.471728292194307,accepted two-stage estimate,
Tree-cover loss,45,dense outer gradient,Park-centred control minus Fragmented control,-0.572168991541994,-1.08048121962124,-0.0638567634627485,accepted two-stage estimate,
Tree-cover loss,50,dense outer gradient,Park-centred control minus Fragmented control,-0.591728982950738,-1.13863201337235,-0.0448259525291275,accepted two-stage estimate,
Tree-cover loss,55,dense outer gradient,Park-centred control minus Fragmented control,-0.3329422186184,-0.746979513263712,0.0810950760269118,accepted two-stage estimate,
Tree-cover loss,60,primary spaced outer boundary,Park-centred control minus Fragmented control,0.0282798970731286,-0.399128173365763,0.45568796751202,accepted two-stage estimate,
Tree-cover loss,-20,inner descriptive check,Park-centred control minus Militia-centred control,0.0199413598885878,-0.298010341394283,0.337893061171459,accepted two-stage estimate,
Tree-cover loss,-15,inner descriptive check,Park-centred control minus Militia-centred control,-0.048376262250132,-0.598067473553398,0.501314949053135,accepted two-stage estimate,
Tree-cover loss,0,legal boundary,Park-centred control minus Militia-centred control,-0.532408868712269,-1.32116053973269,0.256342802308155,accepted two-stage estimate,
Tree-cover loss,15,dense outer gradient,Park-centred control minus Militia-centred control,-0.768630073449434,-1.2947026268819,-0.242557520016972,accepted two-stage estimate,
Tree-cover loss,20,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.549473242661017,-1.10076556266858,0.00181907734654307,accepted two-stage estimate,
Tree-cover loss,25,dense outer gradient,Park-centred control minus Militia-centred control,-0.133415887408545,-0.654744256007548,0.387912481190459,accepted two-stage estimate,
Tree-cover loss,30,dense outer gradient,Park-centred control minus Militia-centred control,0.345996643358299,-0.00306410621358427,0.695057392930182,accepted two-stage estimate,
Tree-cover loss,35,dense outer gradient,Park-centred control minus Militia-centred control,0.692046637193918,0.211749287343523,1.17234398704431,accepted two-stage estimate,
Tree-cover loss,40,primary spaced outer boundary,Park-centred control minus Militia-centred control,0.326252228284022,-0.200813206178132,0.853317662746175,accepted two-stage estimate,
Tree-cover loss,45,dense outer gradient,Park-centred control minus Militia-centred control,-0.053838897793966,-0.574335853661721,0.466658058073788,accepted two-stage estimate,
Tree-cover loss,50,dense outer gradient,Park-centred control minus Militia-centred control,-0.226434305389365,-0.847585041614159,0.394716430835428,accepted two-stage estimate,
Tree-cover loss,55,dense outer gradient,Park-centred control minus Militia-centred control,-0.459661512464009,-0.869607514235519,-0.0497155106924978,accepted two-stage estimate,
Tree-cover loss,60,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.37928558519692,-0.933374800927156,0.174803630533315,accepted two-stage estimate,
