analysis_type,outcome,threshold,spatial_domain,boundary_id,boundary_center_km,boundary_family,analysis_set,profile_comparison,estimate,standard_error,lower_interval,upper_interval,fit_validity,source_file,outcome_label,comparison_label,Outcome,Comparison,accepted,valid_interval,fit_display_category
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+040,40,outer_pseudo,primary_spaced_outer;all_valid_outer,Park-centred control minus Fragmented control,-0.170057122471556,0.0402886290314048,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+040,40,outer_pseudo,primary_spaced_outer;all_valid_outer,Militia-centred control minus Fragmented control,-0.0353398895432382,0.0416428868371971,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+040,40,outer_pseudo,primary_spaced_outer;all_valid_outer,Park-centred control minus Militia-centred control,-0.134717232928318,0.0422472286899269,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+045,45,outer_pseudo,all_valid_outer,Park-centred control minus Fragmented control,-0.124009894788419,0.0402250164990129,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+045,45,outer_pseudo,all_valid_outer,Militia-centred control minus Fragmented control,0.00730465635601931,0.0416774269097486,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+045,45,outer_pseudo,all_valid_outer,Park-centred control minus Militia-centred control,-0.131314551144438,0.0422732548917286,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+050,50,outer_pseudo,all_valid_outer,Park-centred control minus Fragmented control,-0.0906737617819465,0.0301813309618353,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+050,50,outer_pseudo,all_valid_outer,Militia-centred control minus Fragmented control,-0.0123688372862229,0.031238691990643,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+050,50,outer_pseudo,all_valid_outer,Park-centred control minus Militia-centred control,-0.0783049244957237,0.0317642401931397,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+055,55,outer_pseudo,all_valid_outer,Park-centred control minus Fragmented control,-0.099083064096709,0.032803006451165,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+055,55,outer_pseudo,all_valid_outer,Militia-centred control minus Fragmented control,-0.0948152053445774,0.033955439906511,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,all_valid_outer,outer_c+055,55,outer_pseudo,all_valid_outer,Park-centred control minus Militia-centred control,-0.00426785875213168,0.0345637183486058,,,finite/numerically stable but not strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,FALSE,FALSE,finite non-strict fire fit
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+060,60,outer_pseudo,primary_spaced_outer;all_valid_outer,Park-centred control minus Fragmented control,0.0178951193269703,0.0534019884837048,-0.0867708548039138,0.122561093457854,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Fragmented,Fire,Park-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+060,60,outer_pseudo,primary_spaced_outer;all_valid_outer,Militia-centred control minus Fragmented control,-0.0597530294404213,0.055526673004953,-0.168583308711462,0.049077249830619,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Militia-centred - Fragmented,Fire,Militia-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,fire,tau025,primary_spaced_outer;all_valid_outer,outer_c+060,60,outer_pseudo,primary_spaced_outer;all_valid_outer,Park-centred control minus Militia-centred control,0.0776481487673916,0.0563382639928802,-0.0327728196101633,0.188069117144946,strict-valid,analysis_spatial_falsification_revised_dev/tables/fire_boundary_pairwise_differences.csv,Fire,Park-centred - Militia-centred,Fire,Park-centred control minus Militia-centred control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Park-centred control minus Fragmented control,0.0235133979744034,0.16270476434689,-0.295382080258577,0.342408876207384,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Park-centred - Fragmented,Tree-cover loss,Park-centred control minus Fragmented control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Militia-centred control minus Fragmented control,0.00357203808581556,0.0308265543101242,-0.0568468981294958,0.0639909743011269,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Militia-centred - Fragmented,Tree-cover loss,Militia-centred control minus Fragmented control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Park-centred control minus Militia-centred control,0.0199413598885878,0.162223236646609,-0.298010341394283,0.337893061171459,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Park-centred - Militia-centred,Tree-cover loss,Park-centred control minus Militia-centred control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Park-centred control minus Fragmented control,0.0884858914482998,0.0923779345639332,-0.0925715332632072,0.269543316159807,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Agricultural expansion,Park-centred - Fragmented,Agricultural expansion,Park-centred control minus Fragmented control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Militia-centred control minus Fragmented control,0.097449290126063,0.101282776001192,-0.101061303090511,0.295959883342637,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Agricultural expansion,Militia-centred - Fragmented,Agricultural expansion,Militia-centred control minus Fragmented control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Park-centred control minus Militia-centred control,-0.00896339867776323,0.0165683402690573,-0.0414367488887202,0.0235099515331938,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Agricultural expansion,Park-centred - Militia-centred,Agricultural expansion,Park-centred control minus Militia-centred control,TRUE,TRUE,limited-support descriptive check
