Outcome,Diagnostic type,Scenario,Profile or comparison,Estimate,Lower 95%,Upper 95%,Domain,Model implementation,Interpretation
Fire,transition-year shift,T2_earlier,Fragmented control,0.171382963992263,0.0705878473376448,0.272178080646882,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T2_earlier,Militia-centred control,0.0737367978981097,-0.0464865835247744,0.193960179320994,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T2_earlier,Park-centred control,0.118579268512643,0.0122052581728277,0.224953278852458,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T2_earlier,Fragmented control,-0.959201735518615,-1.14687613616584,-0.771527334871391,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T2_earlier,Militia-centred control,-1.97581517842731,-2.47260907828552,-1.47902127856909,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T2_earlier,Park-centred control,-3.31604893022262,-3.80896190437434,-2.82313595607089,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T2_earlier,Fragmented control,0.226408448469623,-0.0228981638857864,0.475715060825033,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T2_earlier,Militia-centred control,0.235697148867062,0.0357968184767544,0.43559747925737,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T2_earlier,Park-centred control,-0.553856377469458,-0.789529772342857,-0.31818298259606,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T2_later,Fragmented control,0.19471268958239,0.08791950727406,0.301505871890719,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T2_later,Militia-centred control,0.0633220444962163,-0.0468518603054569,0.17349594929789,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T2_later,Park-centred control,0.118597794287316,0.0130015695879725,0.22419401898666,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T2_later,Fragmented control,-0.888699313115132,-1.07776048072799,-0.699638145502278,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T2_later,Militia-centred control,-2.09601609033917,-2.57703528205041,-1.61499689862793,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T2_later,Park-centred control,-3.31574046647915,-3.80856463900947,-2.82291629394883,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T2_later,Fragmented control,0.570183504313922,0.310501386776097,0.829865621851746,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T2_later,Militia-centred control,0.0708870024575242,-0.125271138253378,0.267045143168426,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T2_later,Park-centred control,-0.553423766012456,-0.789046547185222,-0.31780098483969,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T2_omit_first_new_year,Fragmented control,0.19467737730716,0.0868349656771907,0.302519788937129,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T2_omit_first_new_year,Militia-centred control,0.0548067911770265,-0.0608657822961908,0.170479364650244,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T2_omit_first_new_year,Park-centred control,0.118576819305389,0.0119420847276649,0.225211553883113,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T2_omit_first_new_year,Fragmented control,-0.888690316360373,-1.07774151136059,-0.699639121360153,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T2_omit_first_new_year,Militia-centred control,-2.0726772661954,-2.56873903455708,-1.57661549783373,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T2_omit_first_new_year,Park-centred control,-3.31579435651617,-3.80863973855178,-2.82294897448055,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T2_omit_first_new_year,Fragmented control,0.569782394739394,0.310076185711783,0.829488603767005,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T2_omit_first_new_year,Militia-centred control,0.110675905479086,-0.0876944691159168,0.309046280074089,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T2_omit_first_new_year,Park-centred control,-0.55366870126148,-0.78931662819687,-0.31802077432609,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T3_earlier,Fragmented control,0.217566559095409,0.11218572823809,0.322947389952727,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T3_earlier,Militia-centred control,0.0390041829862146,-0.0696789140206887,0.147687279993118,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T3_earlier,Park-centred control,0.118628639909674,0.0144658786718935,0.222791401147454,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T3_earlier,Fragmented control,-1.23609266096686,-1.48008347019961,-0.99210185173411,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T3_earlier,Militia-centred control,-1.05314432047023,-1.30517265324907,-0.80111598769139,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T3_earlier,Park-centred control,-3.31595211349228,-3.80883590308279,-2.82306832390177,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T3_earlier,Fragmented control,0.351514752647027,0.0799139208116711,0.623115584482382,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T3_earlier,Militia-centred control,0.176368987187755,-0.0143272031729844,0.367065177548494,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T3_earlier,Park-centred control,-0.55379101792331,-0.789475697268777,-0.318106338577844,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T3_later,Fragmented control,0.155338693997216,0.0541003100510759,0.256577077943356,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T3_later,Militia-centred control,0.0964371218089206,-0.024560602208725,0.217434845826566,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T3_later,Park-centred control,0.118575367431675,0.0116326644021544,0.225518070461195,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T3_later,Fragmented control,-0.939545303654692,-1.12493842425297,-0.754152183056418,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T3_later,Militia-centred control,-2.17017331299045,-2.72050687047472,-1.61983975550619,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T3_later,Park-centred control,-3.31646531209461,-3.80926583331552,-2.8236647908737,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T3_later,Fragmented control,0.502599380573873,0.284072415872617,0.721126345275129,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T3_later,Militia-centred control,-0.00408439208967026,-0.22845280527226,0.220284021092919,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T3_later,Park-centred control,-0.553855500907082,-0.789523926434263,-0.3181870753799,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T3_omit_first_new_year,Fragmented control,0.193049598428596,0.0922655157566918,0.2938336811005,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T3_omit_first_new_year,Militia-centred control,0.0965139687113964,-0.020132953036834,0.213160890459627,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T3_omit_first_new_year,Park-centred control,0.11864861604114,0.0155549744358212,0.221742257646459,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T3_omit_first_new_year,Fragmented control,-0.919654750039671,-1.10763566860422,-0.731673831475121,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T3_omit_first_new_year,Militia-centred control,-2.16821477738282,-2.71793346272718,-1.61849609203847,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T3_omit_first_new_year,Park-centred control,-3.31586472281533,-3.80865820536085,-2.82307124026981,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T3_omit_first_new_year,Fragmented control,0.457676060249403,0.204121341323797,0.71123077917501,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T3_omit_first_new_year,Militia-centred control,-0.00386227210382517,-0.228210787511215,0.220486243303565,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T3_omit_first_new_year,Park-centred control,-0.553742059411897,-0.7893962397195,-0.318087879104294,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T4_earlier,Fragmented control,0.192978653165159,0.0896823278726346,0.296274978457684,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T4_earlier,Militia-centred control,0.065620321935423,-0.0538938575694037,0.18513450144025,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T4_earlier,Park-centred control,0.106626896508576,0.00439333230137254,0.208860460715779,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T4_earlier,Fragmented control,-0.919178183986363,-1.10716030680471,-0.731196061168017,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T4_earlier,Militia-centred control,-2.02852636378185,-2.56052449045632,-1.49652823710737,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T4_earlier,Park-centred control,-3.24424387516612,-3.71003429631287,-2.77845345401937,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T4_earlier,Fragmented control,0.457505891486238,0.203949069225349,0.711062713747128,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T4_earlier,Militia-centred control,0.0713258954974781,-0.150053874032139,0.292705665027095,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T4_earlier,Park-centred control,-0.413845538944505,-0.621659464937786,-0.206031612951224,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T4_later,Fragmented control,0.193029409550853,0.0913619554640733,0.294696863637632,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T4_later,Militia-centred control,0.0197911674801564,-0.0887414085819982,0.128323743542311,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T4_later,Park-centred control,0.157847254507236,0.0500547528926272,0.265639756121844,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T4_later,Fragmented control,-0.919508278706306,-1.10750881283269,-0.73150774457992,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T4_later,Militia-centred control,-2.2316165999928,-2.71184933392581,-1.75138386605979,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T4_later,Park-centred control,-3.30733305509081,-3.81656749740326,-2.79809861277835,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T4_later,Fragmented control,0.457284284126465,0.20369345259704,0.71087511565589,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T4_later,Militia-centred control,0.00253445263765667,-0.177517990183674,0.182586895458987,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T4_later,Park-centred control,-0.609115307341091,-0.889978157003117,-0.328252457679064,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T4_omit_first_new_year,Fragmented control,0.193075497689353,0.0931646073808367,0.292986387997869,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T4_omit_first_new_year,Militia-centred control,0.0548551888098017,-0.0560108252865639,0.165721202906167,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T4_omit_first_new_year,Park-centred control,0.157885632078375,0.0519576584153792,0.263813605741371,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T4_omit_first_new_year,Fragmented control,-0.919068472536394,-1.1070130318359,-0.731123913236887,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T4_omit_first_new_year,Militia-centred control,-2.0722481539033,-2.56819061776076,-1.57630569004585,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T4_omit_first_new_year,Park-centred control,-3.30837424263035,-3.81783258630902,-2.79891589895168,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T4_omit_first_new_year,Fragmented control,0.456586839879256,0.202909711309883,0.71026396844863,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T4_omit_first_new_year,Militia-centred control,0.110807312847901,-0.0875540816585255,0.309168707354328,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T4_omit_first_new_year,Park-centred control,-0.608660269226061,-0.889476223423166,-0.327844315028957,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T5_earlier,Fragmented control,0.169695626230923,0.0622488122998184,0.277142440162027,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T5_earlier,Militia-centred control,0.0893400300409622,-0.0223581660990865,0.201038226181011,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T5_earlier,Park-centred control,0.118573581841423,0.0119280654857682,0.225219098197077,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T5_earlier,Fragmented control,-0.897475915094545,-1.08537533148541,-0.709576498703678,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T5_earlier,Militia-centred control,-2.12480008715367,-2.62098754196041,-1.62861263234693,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T5_earlier,Park-centred control,-3.31621859659457,-3.80917742935822,-2.82325976383091,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T5_earlier,Fragmented control,0.457597411292083,0.204061877950935,0.71113294463323,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T5_earlier,Militia-centred control,0.110359111898437,-0.0880454846911665,0.30876370848804,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T5_earlier,Park-centred control,-0.553974957753998,-0.789660526732987,-0.318289388775009,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T5_later,Fragmented control,0.212139778616544,0.113550039977347,0.31072951725574,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T5_later,Militia-centred control,0.0175476681063297,-0.099088695078475,0.134184031291134,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T5_later,Park-centred control,0.118637552400835,0.0149657583349616,0.222309346466708,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T5_later,Fragmented control,-0.925215084803178,-1.11320128618328,-0.737228883423077,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T5_later,Militia-centred control,-2.05919861620392,-2.55540456570964,-1.56299266669819,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T5_later,Park-centred control,-3.31644260818378,-3.80947637559626,-2.8234088407713,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T5_later,Fragmented control,0.457233011012647,0.203647022189728,0.710818999835565,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T5_later,Militia-centred control,0.110647187968812,-0.0877297978176743,0.309024173755298,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T5_later,Park-centred control,-0.553579923614753,-0.789221840082974,-0.317938007146532,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T5_omit_first_new_year,Fragmented control,0.193044580224059,0.0919947115181168,0.294094448930001,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T5_omit_first_new_year,Militia-centred control,0.0175501947062839,-0.098742255509108,0.133842644921676,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T5_omit_first_new_year,Park-centred control,0.118641189767395,0.0152753823107219,0.222006997224068,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T5_omit_first_new_year,Fragmented control,-0.91942710460687,-1.10740493674502,-0.731449272468716,complete landscape diagnostic,nlminb_default,sensitivity only
