Outcome,Diagnostic type,Scenario,Profile or comparison,Estimate,Lower 95%,Upper 95%,Domain,Model implementation,Interpretation
Fire,leave-one-episode-out,omit_SESU3_Fragmented control_2007_2010,Militia-centred control,0.0548099702702475,-0.0603483147885291,0.169968255329024,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Fragmented control_2007_2010,Park-centred control,0.118586101804813,0.0124259200665848,0.224746283543041,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Fragmented control_2007_2010,Fragmented control,-0.774579691463316,-0.973161540158137,-0.575997842768496,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Fragmented control_2007_2010,Militia-centred control,-2.07372882651033,-2.60779142968291,-1.53966622333776,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Fragmented control_2007_2010,Park-centred control,-3.31639548846098,-3.89348762607568,-2.73930335084628,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Fragmented control_2007_2010,Fragmented control,0.492475526732875,0.239363063226008,0.745587990239743,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Fragmented control_2007_2010,Militia-centred control,0.110125503008252,-0.0883083592011879,0.308559365217691,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Fragmented control_2007_2010,Park-centred control,-0.553717399577589,-0.78935723630412,-0.318077562851058,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Park-centred control_2011_2012,Fragmented control,0.192938670119077,0.0882584101514894,0.297618930086666,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Park-centred control_2011_2012,Militia-centred control,0.0547970755957035,-0.0613615090644735,0.170955660255881,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Park-centred control_2011_2012,Park-centred control,0.0946892768719157,-0.0200753223036624,0.209453876047494,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Park-centred control_2011_2012,Fragmented control,-0.919292415871397,-1.1714108892877,-0.667173942455098,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Park-centred control_2011_2012,Militia-centred control,-2.07279154206415,-2.5809737800097,-1.56460930411859,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Park-centred control_2011_2012,Park-centred control,-3.45117570631095,-4.02467565833142,-2.87767575429048,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Park-centred control_2011_2012,Fragmented control,0.456863485512104,0.203237040790543,0.710489930233664,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Park-centred control_2011_2012,Militia-centred control,0.110577578851885,-0.0878051277897656,0.308960285493536,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Park-centred control_2011_2012,Park-centred control,-0.550476934002063,-0.786085420726184,-0.314868447277941,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Militia-centred control_2013_2015,Fragmented control,0.192969462563338,0.0893984697320019,0.296540455394674,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Militia-centred control_2013_2015,Militia-centred control,-0.0103406992021227,-0.141040386897168,0.120358988492923,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Militia-centred control_2013_2015,Park-centred control,0.118590431291065,0.0126431018785135,0.224537760703617,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Militia-centred control_2013_2015,Fragmented control,-0.919435539172306,-1.10742098556629,-0.731450092778322,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Militia-centred control_2013_2015,Militia-centred control,-1.90339517201994,-2.3989423673269,-1.40784797671298,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Militia-centred control_2013_2015,Park-centred control,-3.31612404677677,-3.80901120755213,-2.8232368860014,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Militia-centred control_2013_2015,Fragmented control,0.457546628124888,0.203543811154315,0.71154944509546,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Militia-centred control_2013_2015,Militia-centred control,0.121300168438164,-0.0770323483715071,0.319632685247835,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Militia-centred control_2013_2015,Park-centred control,-0.553684095554431,-0.789383813182019,-0.317984377926843,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Park-centred control_2016_2022,Fragmented control,0.193090284575296,0.093586037364636,0.292594531785956,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Park-centred control_2016_2022,Militia-centred control,0.0548596719717513,-0.0555549899894144,0.165274333932917,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,leave-one-episode-out,omit_SESU3_Park-centred control_2016_2022,Park-centred control,-0.0958630009348002,-0.234901169416889,0.043175167547289,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Park-centred control_2016_2022,Fragmented control,-0.919403622241843,-1.1073896612407,-0.731417583242982,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Park-centred control_2016_2022,Militia-centred control,-2.07300238780513,-2.56925598796453,-1.57674878764573,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,leave-one-episode-out,omit_SESU3_Park-centred control_2016_2022,Park-centred control,-2.54481505864252,-3.03812286770348,-2.05150724958156,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Park-centred control_2016_2022,Fragmented control,0.457041955107013,0.203442602349349,0.710641307864677,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Park-centred control_2016_2022,Militia-centred control,0.110520088761633,-0.087881271552936,0.308921449076203,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,leave-one-episode-out,omit_SESU3_Park-centred control_2016_2022,Park-centred control,-0.52320650765297,-0.758577899673027,-0.287835115632914,complete landscape diagnostic,nlminb_default,sensitivity only
