Outcome,Boundary centre,Boundary role,Profile,Estimate,Lower 95%,Upper 95%,Fit validity,Event support
Tree-cover loss,-20,inner descriptive check,Park-centred control,1.12052626240255,0.808212767398635,1.43283975740646,accepted two-stage estimate,2
Tree-cover loss,15,dense outer gradient,Fragmented control,0.21468390004868,-0.0662603483832574,0.495628148480617,accepted two-stage estimate,743
Tree-cover loss,15,dense outer gradient,Militia-centred control,0.200523485712963,-0.260833760505528,0.661880731931454,accepted two-stage estimate,743
Tree-cover loss,15,dense outer gradient,Park-centred control,-0.568106587736471,-0.887510732941911,-0.24870244253103,accepted two-stage estimate,743
Tree-cover loss,20,primary spaced outer boundary,Fragmented control,-0.393020074090525,-0.703365125104655,-0.0826750230763947,accepted two-stage estimate,813
Tree-cover loss,20,primary spaced outer boundary,Militia-centred control,0.131993576123983,-0.333879150998233,0.597866303246198,accepted two-stage estimate,813
Tree-cover loss,20,primary spaced outer boundary,Park-centred control,-0.417479666537035,-0.664960973713428,-0.169998359360642,accepted two-stage estimate,813
Tree-cover loss,25,dense outer gradient,Fragmented control,-0.207550213143212,-0.791583843348753,0.376483417062329,accepted two-stage estimate,977
Tree-cover loss,25,dense outer gradient,Militia-centred control,-0.190605582936496,-0.621966562735975,0.240755396862983,accepted two-stage estimate,977
Tree-cover loss,25,dense outer gradient,Park-centred control,-0.324021470345041,-0.596960634888044,-0.0510823058020368,accepted two-stage estimate,977
Tree-cover loss,30,dense outer gradient,Fragmented control,-0.232391977445619,-0.859293422967992,0.394509468076754,accepted two-stage estimate,1243
Tree-cover loss,30,dense outer gradient,Militia-centred control,-0.426979458645128,-0.761806664027559,-0.0921522532626974,accepted two-stage estimate,1243
Tree-cover loss,30,dense outer gradient,Park-centred control,-0.0809828152868294,-0.293949002600678,0.131983372027019,accepted two-stage estimate,1243
Tree-cover loss,35,dense outer gradient,Fragmented control,-0.193720970503132,-0.523598077174625,0.136156136168361,accepted two-stage estimate,1581
Tree-cover loss,35,dense outer gradient,Militia-centred control,-0.145545588250249,-0.568366943016227,0.277275766515729,accepted two-stage estimate,1581
Tree-cover loss,35,dense outer gradient,Park-centred control,0.546501048943669,0.317604289783002,0.775397808104336,accepted two-stage estimate,1581
Tree-cover loss,40,primary spaced outer boundary,Fragmented control,0.377689927454386,0.111408429069681,0.643971425839092,accepted two-stage estimate,1666
Tree-cover loss,40,primary spaced outer boundary,Militia-centred control,0.177437410388858,-0.29130450393429,0.646179324712006,accepted two-stage estimate,1666
Tree-cover loss,40,primary spaced outer boundary,Park-centred control,0.50368963867288,0.223077178381729,0.78430209896403,accepted two-stage estimate,1666
Tree-cover loss,45,dense outer gradient,Fragmented control,0.519680091240835,0.150691638342642,0.888668544139028,accepted two-stage estimate,1719
Tree-cover loss,45,dense outer gradient,Militia-centred control,0.00134999749280691,-0.386712027500892,0.389412022486506,accepted two-stage estimate,1719
Tree-cover loss,45,dense outer gradient,Park-centred control,-0.0524889003011591,-0.369638295252678,0.264660494650359,accepted two-stage estimate,1719
Tree-cover loss,50,dense outer gradient,Fragmented control,0.108124790522884,-0.335205924854655,0.551455505900423,accepted two-stage estimate,1695
Tree-cover loss,50,dense outer gradient,Militia-centred control,-0.257169887038489,-0.783488098571061,0.269148324494084,accepted two-stage estimate,1695
Tree-cover loss,50,dense outer gradient,Park-centred control,-0.483604192427854,-0.819388291155332,-0.147820093700375,accepted two-stage estimate,1695
Tree-cover loss,55,dense outer gradient,Fragmented control,-0.099049274131763,-0.396659036068166,0.19856048780464,accepted two-stage estimate,1645
Tree-cover loss,55,dense outer gradient,Militia-centred control,0.0276700197138456,-0.26499587381063,0.320335913238321,accepted two-stage estimate,1645
Tree-cover loss,55,dense outer gradient,Park-centred control,-0.431991492750163,-0.751756390526371,-0.112226594973955,accepted two-stage estimate,1645
Tree-cover loss,60,primary spaced outer boundary,Fragmented control,-0.0981053814300815,-0.414713598216211,0.218502835356048,accepted two-stage estimate,1525
Tree-cover loss,60,primary spaced outer boundary,Militia-centred control,0.309460100839968,-0.142883379486212,0.761803581166148,accepted two-stage estimate,1525
Tree-cover loss,60,primary spaced outer boundary,Park-centred control,-0.0698254843569529,-0.393565929183564,0.253914960469658,accepted two-stage estimate,1525
