cell,x,y,distance_to_park_boundary_km,signed_distance_km,side,in_primary_10km,authoritative_cluster,reproduced_cluster_raw,reproduced_cluster_clean,reproduced_cluster_matched,changed_by_despeckling_stage,connected_component,largest_component_share
148254,480250,8972250,3.80788647460938,-3.80788647460938,inside,TRUE,3,1,1,1,FALSE,1,1
149155,483750,8971250,0.5,-0.5,inside,TRUE,3,1,1,1,FALSE,1,1
149188,500250,8971250,10.9658564453125,10.9658564453125,outside,FALSE,2,1,1,1,FALSE,1,1
149630,497750,8970750,8.6023251953125,8.6023251953125,outside,TRUE,1,2,2,2,FALSE,1,1
149632,498750,8970750,9.4339814453125,9.4339814453125,outside,TRUE,1,2,2,2,FALSE,1,1
150077,497750,8970250,8.321658203125,8.321658203125,outside,TRUE,1,2,2,2,FALSE,1,1
150113,515750,8970250,23.307724609375,23.307724609375,outside,FALSE,1,2,2,2,FALSE,1,1
150114,516250,8970250,23.769728515625,23.769728515625,outside,FALSE,1,2,2,2,FALSE,1,1
150471,471250,8969750,12.50999609375,-12.50999609375,inside,FALSE,3,1,1,1,FALSE,1,1
150535,503250,8969750,12.37941796875,12.37941796875,outside,FALSE,1,3,3,3,FALSE,1,1
151364,470750,8968750,13.086251953125,-13.086251953125,inside,FALSE,3,2,2,2,FALSE,1,1
151427,502250,8968750,10.9658564453125,10.9658564453125,outside,FALSE,1,3,3,3,FALSE,1,1
151504,540750,8968750,41.88078125,41.88078125,outside,FALSE,2,1,1,1,FALSE,1,1
151952,541250,8968250,42.57346484375,42.57346484375,outside,FALSE,2,1,1,1,FALSE,1,1
152760,498250,8967250,6.94622216796875,6.94622216796875,outside,TRUE,2,1,1,1,FALSE,1,1
153193,491250,8966750,1.11803393554687,1.11803393554687,outside,TRUE,2,1,1,1,FALSE,1,1
153194,491750,8966750,1.41421362304688,1.41421362304688,outside,TRUE,2,1,1,1,FALSE,1,1
153668,505250,8966250,12.0830458984375,12.0830458984375,outside,FALSE,1,2,2,2,FALSE,1,1
154062,478750,8965750,6.72681201171875,-6.72681201171875,inside,TRUE,2,3,3,3,FALSE,1,1
154963,482250,8964750,5.590169921875,-5.590169921875,inside,TRUE,2,1,1,1,FALSE,1,1
155412,483250,8964250,5.4083271484375,-5.4083271484375,inside,TRUE,2,1,1,1,FALSE,1,1
155725,416250,8963750,3.64005493164063,-3.64005493164063,inside,TRUE,3,1,1,1,FALSE,1,1
155858,482750,8963750,6.10327783203125,-6.10327783203125,inside,TRUE,3,1,1,1,FALSE,1,1
155904,505750,8963750,11.7686025390625,11.7686025390625,outside,FALSE,2,1,1,1,FALSE,1,1
156002,554750,8963750,53.77034375,53.77034375,outside,FALSE,3,1,1,1,FALSE,1,1
157505,412250,8961750,1,-1,inside,TRUE,3,1,1,1,FALSE,1,1
158660,542750,8960750,48.502578125,48.502578125,outside,FALSE,1,2,2,2,FALSE,1,1
161335,539250,8957750,45.13590625,45.13590625,outside,FALSE,1,2,2,2,FALSE,1,1
161785,540750,8957250,46.6717265625,46.6717265625,outside,FALSE,1,2,2,2,FALSE,1,1
163318,413250,8955250,1.11803393554687,1.11803393554687,outside,TRUE,1,3,3,3,FALSE,1,1
164351,482750,8954250,2.69258251953125,-2.69258251953125,inside,TRUE,2,1,1,1,FALSE,1,1
164352,483250,8954250,2.91547583007813,-2.91547583007813,inside,TRUE,2,1,1,1,FALSE,1,1
164371,492750,8954250,2.5,2.5,outside,TRUE,2,1,1,1,FALSE,1,1
165262,491250,8953250,1.41421362304688,1.41421362304688,outside,TRUE,2,1,1,1,FALSE,1,1
165712,492750,8952750,2.91547583007813,2.91547583007813,outside,TRUE,2,1,1,1,FALSE,1,1
166155,490750,8952250,1.41421362304688,1.41421362304688,outside,TRUE,2,1,1,1,FALSE,1,1
168489,540250,8949750,47.41571484375,47.41571484375,outside,FALSE,1,2,2,2,FALSE,1,1
171944,479750,8945750,6,6,outside,TRUE,2,3,3,3,FALSE,1,1
174750,541750,8942750,50.975484375,50.975484375,outside,FALSE,1,2,2,2,FALSE,1,1
175824,408250,8941250,1.58113879394531,-1.58113879394531,inside,TRUE,3,1,1,1,FALSE,1,1
177882,543250,8939250,53.7121953125,53.7121953125,outside,FALSE,1,2,2,2,FALSE,1,1
178188,472750,8938750,14.3178212890625,14.3178212890625,outside,FALSE,3,2,2,2,FALSE,1,1
179968,468750,8936750,17.240939453125,17.240939453125,outside,FALSE,3,2,2,2,FALSE,1,1
181020,547750,8935750,59.26634765625,59.26634765625,outside,FALSE,3,1,1,1,FALSE,1,1
183988,467250,8932250,21.9658828125,21.9658828125,outside,FALSE,3,2,2,2,FALSE,1,1
184881,466750,8931250,22.945587890625,22.945587890625,outside,FALSE,2,3,3,3,FALSE,1,1
186500,382250,8929250,4.272001953125,4.272001953125,outside,TRUE,1,3,3,3,FALSE,1,1
186947,382250,8928750,3.80788647460938,3.80788647460938,outside,TRUE,1,3,3,3,FALSE,1,1
186949,383250,8928750,3.20156201171875,3.20156201171875,outside,TRUE,1,3,3,3,FALSE,1,1
