run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
domain_20km__agriculture,agriculture,Park dominant,-0.529291276377136,0.176016524403161,-0.874277324891246,-0.184305227863025,0.589022275784782,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_20km
domain_full__fire,fire,Neither actor dominant,0.193025930296142,0.0519003677250518,0.0913030787706556,0.294748781821629,1.2129142443369,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_full
domain_full__fire,fire,Militia dominant,0.0548347374827201,0.0575912894260171,-0.0580421156154958,0.167711590580936,1.05636602254107,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_full
domain_full__fire,fire,Park dominant,0.111946599754164,0.0531006586334977,0.00787122127715287,0.216021978231176,1.11845313337806,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_full
domain_full__tree_cover_loss,tree_cover_loss,Neither actor dominant,-1.1717332924866,0.283434729030224,-1.7272551533537,-0.616211431619489,0.309829450526996,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_full
domain_full__tree_cover_loss,tree_cover_loss,Militia dominant,-1.78735867378529,0.36179397075864,-2.49646182629597,-1.07825552127462,0.167401748860617,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_full
domain_full__tree_cover_loss,tree_cover_loss,Park dominant,-2.60387496661614,0.406270344606506,-3.40015021003157,-1.80759972320071,0.0739863274812239,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_full
domain_full__agriculture,agriculture,Neither actor dominant,0.562739843664829,0.252013260314429,0.0688029298220318,1.05667675750763,1.75547564618498,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_full
domain_full__agriculture,agriculture,Militia dominant,0.163892757837478,0.154972297606021,-0.139847364071747,0.467632879746703,1.17808796761667,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_full
domain_full__agriculture,agriculture,Park dominant,-0.573161177144788,0.16187226852609,-0.89042499355172,-0.255897360737855,0.563740535292237,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,domain_full
weight_unweighted__fire,fire,Neither actor dominant,0.170288429758373,0.0297450591051261,0.111989185194311,0.228587674322435,1.18564677782075,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,weight_unweighted
weight_unweighted__fire,fire,Militia dominant,0.0107091233715076,0.0330098626703633,-0.0539890185970177,0.0754072653400329,1.01076667127895,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,weight_unweighted
weight_unweighted__fire,fire,Park dominant,0.0678282180423288,0.0305524668753538,0.00794648332778246,0.127709952756875,1.07018145482248,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,weight_unweighted
weight_unweighted__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.881260072325685,0.242971938348965,-1.35747632074354,-0.405043823907828,0.414260584367613,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,weight_unweighted
weight_unweighted__tree_cover_loss,tree_cover_loss,Militia dominant,-0.880725173015031,0.36244813449897,-1.59111046289674,-0.17033988313332,0.414482231342745,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,weight_unweighted
weight_unweighted__tree_cover_loss,tree_cover_loss,Park dominant,-1.76166446100849,0.310487879333781,-2.37020952213892,-1.15311939987806,0.171758740042502,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,weight_unweighted
weight_unweighted__agriculture,agriculture,Neither actor dominant,0.240968936247477,0.153715251470161,-0.0603074205085568,0.542245293003511,1.27248150664367,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,weight_unweighted
weight_unweighted__agriculture,agriculture,Militia dominant,-0.0533925245988146,0.278229023717135,-0.59871139053814,0.49192634134051,0.948007823049907,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,weight_unweighted
weight_unweighted__agriculture,agriculture,Park dominant,-0.28496339313118,0.138616310195153,-0.556646368783512,-0.0132804174788474,0.752041783710421,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,weight_unweighted
lag_1__fire,fire,Neither actor dominant,0.0954446803456448,0.0305979321701716,0.035473835290709,0.155415525400581,1.10014796054562,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1
lag_1__fire,fire,Militia dominant,0.0584838662361479,0.0339032995109829,-0.00796537976245286,0.124933112234749,1.06022788009036,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1
lag_1__fire,fire,Park dominant,0.0710572472189073,0.0340031459595838,0.00441230577706453,0.13770218866075,1.07364268716704,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1
lag_1__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.787362499410854,0.246588962314377,-1.27066798453214,-0.304057014289569,0.455043391151122,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1
lag_1__tree_cover_loss,tree_cover_loss,Militia dominant,-1.27243492696908,0.332681734875672,-1.9244791456397,-0.620390708298459,0.280148649120451,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1
lag_1__tree_cover_loss,tree_cover_loss,Park dominant,-1.39539364416429,0.274615150044058,-1.93362944785971,-0.857157840468874,0.247735497537799,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1
