run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio,boundary_center_km,design_membership,comparison_direction,result_type,fit_validity_status,warning_messages,design,legal_rank,legal_percentile_among_offsets
boundary_15__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.768630073449434,0.268409296079956,0.242557520016972,1.2947026268819,2.15680955834104,15,dense;non_adjacent,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,9,0.8
boundary_20__agriculture,agriculture,Neither actor dominant,-0.00217248540697795,0.226578560475671,-0.446258303608223,0.441913332794267,0.997829872731461,20,dense;round_number;historical,park-facing minus outward-facing,profile,valid,"",dense,10,0.9
boundary_20__agriculture,agriculture,Militia dominant,-0.268130430971688,0.197399336167648,-0.655026020432392,0.118765158489016,0.764808019943837,20,dense;round_number;historical,park-facing minus outward-facing,profile,valid,"",dense,8,0.7
boundary_20__agriculture,agriculture,Park dominant,-0.200567225262884,0.179727509159649,-0.552826670246888,0.15169221972112,0.818266479997494,20,dense;round_number;historical,park-facing minus outward-facing,profile,valid,"",dense,3,0.2
boundary_20__agriculture,agriculture,Neither actor dominant minus Militia dominant,0.26595794556471,0.29479839334028,-0.311836288082512,0.843752179211932,1.30468018994458,20,dense;round_number;historical,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,4,0.3
boundary_20__agriculture,agriculture,Neither actor dominant minus Park dominant,0.198394739855906,0.278165049578287,-0.346798739075335,0.743588218787147,1.21944366184292,20,dense;round_number;historical,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,11,1
boundary_20__agriculture,agriculture,Militia dominant minus Park dominant,-0.0675632057088041,0.27969572841454,-0.615756760030998,0.48063034861339,0.934668642354969,20,dense;round_number;historical,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,11,1
boundary_20__fire,fire,Neither actor dominant,0.422192783824508,0.0285640905242008,,,1.52530254999983,20,dense;round_number;historical,park-facing minus outward-facing,profile,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,9,0.8
boundary_20__fire,fire,Militia dominant,0.513085650744062,0.0315232173009776,,,1.6704376379401,20,dense;round_number;historical,park-facing minus outward-facing,profile,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,7,0.6
boundary_20__fire,fire,Park dominant,0.478167602136646,0.0293394868331942,,,1.61311582238678,20,dense;round_number;historical,park-facing minus outward-facing,profile,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,7,0.6
boundary_20__fire,fire,Neither actor dominant minus Militia dominant,-0.0908928669195537,0.0425404506859016,,,0.913115530538903,20,dense;round_number;historical,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,11,1
boundary_20__fire,fire,Neither actor dominant minus Park dominant,-0.0559748183121378,0.0409484147831625,,,0.945562946461572,20,dense;round_number;historical,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,9,0.8
boundary_20__fire,fire,Militia dominant minus Park dominant,0.0349180486074159,0.0430629317734059,,,1.03553484179983,20,dense;round_number;historical,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",dense,4,0.3
boundary_20__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.393020074090525,0.158342221317378,-0.703365125104655,-0.0826750230763947,0.675015197133954,20,dense;round_number;historical,park-facing minus outward-facing,profile,valid,"",dense,1,0
boundary_20__tree_cover_loss,tree_cover_loss,Militia dominant,0.131993576123983,0.237694534591942,-0.333879150998233,0.597866303246198,1.14110098895241,20,dense;round_number;historical,park-facing minus outward-facing,profile,valid,"",dense,1,0
boundary_20__tree_cover_loss,tree_cover_loss,Park dominant,-0.417479666537035,0.1262682932587,-0.664960973713428,-0.169998359360642,0.65870488546326,20,dense;round_number;historical,park-facing minus outward-facing,profile,valid,"",dense,1,0
boundary_20__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,-0.525013650214508,0.271436763261549,-1.05701993028727,0.00699262985825266,0.59154728956431,20,dense;round_number;historical,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,7,0.6
boundary_20__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.0244595924465097,0.220234216487951,-0.407191540033272,0.456110724926291,1.0247611821783,20,dense;round_number;historical,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,9,0.8
boundary_20__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.549473242661017,0.28127676036707,-0.00181907734654307,1.10076556266858,1.73234025454342,20,dense;round_number;historical,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,9,0.8
boundary_25__agriculture,agriculture,Neither actor dominant,-0.569392247035318,0.183474814177081,-0.928996274892575,-0.209788219178061,0.565869242924946,25,dense;non_adjacent,park-facing minus outward-facing,profile,valid,"",dense,10,0.9
boundary_25__agriculture,agriculture,Militia dominant,-1.20073708806059,0.349437694396367,-1.88562238391818,-0.515851792202997,0.300972287053812,25,dense;non_adjacent,park-facing minus outward-facing,profile,valid,"",dense,8,0.7
boundary_25__agriculture,agriculture,Park dominant,-0.868049961376977,0.339978706938474,-1.53439598248688,-0.201703940267071,0.419769318031063,25,dense;non_adjacent,park-facing minus outward-facing,profile,valid,"",dense,3,0.2
boundary_25__agriculture,agriculture,Neither actor dominant minus Militia dominant,0.631344841025272,0.395195872233089,-0.143224835390475,1.40591451744102,1.88013736568301,25,dense;non_adjacent,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,4,0.3
boundary_25__agriculture,agriculture,Neither actor dominant minus Park dominant,0.298657714341659,0.41532288288627,-0.515360178070776,1.11267560675409,1.34804812695499,25,dense;non_adjacent,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,11,1
boundary_25__agriculture,agriculture,Militia dominant minus Park dominant,-0.332687126683612,0.530799891480287,-1.37303579698274,0.707661543615518,0.716994487509305,25,dense;non_adjacent,difference between profile-specific park-facing minus outward-facing contrasts,pairwise,valid,"",dense,11,1
