park_side,governance_profile_at_event,landscape_group,event_year,corridor_domain,event_cells,persistent,transient_reversed,intermittent,right_censored,missing_uncertain,classifiable_fraction,persistent_fraction_among_classifiable
inside,Park dominant,Depression,2019,20km,5,4,1,0,0,0,1,0.8
outside,Park dominant,Depression,2020,20km,16,13,0,3,0,0,1,0.8125
inside,Park dominant,Depression,2020,20km,7,6,0,1,0,0,1,0.857142857142857
outside,Park dominant,Depression,2021,20km,32,0,0,0,32,0,0,
inside,Park dominant,Depression,2021,20km,8,0,0,0,8,0,0,
outside,Park dominant,Depression,2022,20km,23,0,0,0,23,0,0,
inside,Park dominant,Depression,2022,20km,10,0,0,0,10,0,0,
outside,Neither actor dominant,Plateau,2002,20km,1,1,0,0,0,0,1,1
outside,Neither actor dominant,Plateau,2007,20km,2,2,0,0,0,0,1,1
outside,Park dominant,Plateau,2011,20km,1,1,0,0,0,0,1,1
outside,Militia dominant,Plateau,2014,20km,1,1,0,0,0,0,1,1
outside,Militia dominant,Plateau,2015,20km,1,1,0,0,0,0,1,1
outside,Park dominant,Plateau,2016,20km,1,1,0,0,0,0,1,1
outside,Park dominant,Plateau,2017,20km,2,2,0,0,0,0,1,1
outside,Park dominant,Plateau,2019,20km,1,0,0,1,0,0,1,0
outside,Neither actor dominant,Depression,2001,full,57,45,11,1,0,0,1,0.789473684210526
inside,Neither actor dominant,Depression,2001,full,4,4,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2002,full,32,30,1,1,0,0,1,0.9375
inside,Neither actor dominant,Depression,2002,full,6,6,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2003,full,31,31,0,0,0,0,1,1
inside,Neither actor dominant,Depression,2003,full,4,4,0,0,0,0,1,1
outside,Militia dominant,Depression,2004,full,136,127,6,3,0,0,1,0.933823529411765
inside,Militia dominant,Depression,2004,full,20,13,5,2,0,0,1,0.65
outside,Militia dominant,Depression,2005,full,98,81,7,10,0,0,1,0.826530612244898
inside,Militia dominant,Depression,2005,full,3,2,0,1,0,0,1,0.666666666666667
outside,Militia dominant,Depression,2006,full,105,84,18,3,0,0,1,0.8
outside,Neither actor dominant,Depression,2007,full,53,47,2,4,0,0,1,0.886792452830189
inside,Neither actor dominant,Depression,2007,full,2,2,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2008,full,76,54,15,7,0,0,1,0.710526315789474
inside,Neither actor dominant,Depression,2008,full,6,6,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2009,full,58,43,13,2,0,0,1,0.741379310344828
inside,Neither actor dominant,Depression,2009,full,11,11,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2010,full,48,44,4,0,0,0,1,0.916666666666667
inside,Neither actor dominant,Depression,2010,full,19,19,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2011,full,17,14,3,0,0,0,1,0.823529411764706
inside,Neither actor dominant,Depression,2011,full,9,9,0,0,0,0,1,1
outside,Neither actor dominant,Depression,2012,full,19,16,2,1,0,0,1,0.842105263157895
inside,Neither actor dominant,Depression,2012,full,10,9,0,1,0,0,1,0.9
outside,Militia dominant,Depression,2013,full,120,112,3,5,0,0,1,0.933333333333333
inside,Militia dominant,Depression,2013,full,25,25,0,0,0,0,1,1
outside,Militia dominant,Depression,2014,full,213,192,15,6,0,0,1,0.901408450704225
inside,Militia dominant,Depression,2014,full,26,25,1,0,0,0,1,0.961538461538461
outside,Militia dominant,Depression,2015,full,64,56,5,3,0,0,1,0.875
inside,Militia dominant,Depression,2015,full,14,14,0,0,0,0,1,1
outside,Militia dominant,Depression,2016,full,151,143,3,5,0,0,1,0.947019867549669
inside,Militia dominant,Depression,2016,full,22,21,1,0,0,0,1,0.954545454545455
outside,Park dominant,Depression,2017,full,302,258,28,16,0,0,1,0.85430463576159
inside,Park dominant,Depression,2017,full,22,19,2,1,0,0,1,0.863636363636364
outside,Park dominant,Depression,2018,full,212,170,27,15,0,0,1,0.80188679245283
inside,Park dominant,Depression,2018,full,22,20,0,2,0,0,1,0.909090909090909
outside,Park dominant,Depression,2019,full,156,127,26,3,0,0,1,0.814102564102564
inside,Park dominant,Depression,2019,full,5,4,1,0,0,0,1,0.8
outside,Park dominant,Depression,2020,full,126,99,3,24,0,0,1,0.785714285714286
inside,Park dominant,Depression,2020,full,7,6,0,1,0,0,1,0.857142857142857
outside,Park dominant,Depression,2021,full,197,0,0,0,197,0,0,
inside,Park dominant,Depression,2021,full,8,0,0,0,8,0,0,
outside,Park dominant,Depression,2022,full,139,0,0,0,139,0,0,
inside,Park dominant,Depression,2022,full,10,0,0,0,10,0,0,
outside,Neither actor dominant,Plateau,2002,full,1,1,0,0,0,0,1,1
outside,Neither actor dominant,Plateau,2007,full,2,2,0,0,0,0,1,1
outside,Neither actor dominant,Plateau,2008,full,1,1,0,0,0,0,1,1
outside,Neither actor dominant,Plateau,2009,full,2,2,0,0,0,0,1,1
outside,Park dominant,Plateau,2011,full,1,1,0,0,0,0,1,1
outside,Militia dominant,Plateau,2014,full,1,1,0,0,0,0,1,1
outside,Militia dominant,Plateau,2015,full,2,2,0,0,0,0,1,1
outside,Park dominant,Plateau,2016,full,1,1,0,0,0,0,1,1
outside,Park dominant,Plateau,2017,full,2,2,0,0,0,0,1,1
outside,Park dominant,Plateau,2019,full,2,1,0,1,0,0,1,0.5
outside,Park dominant,Plateau,2020,full,3,1,1,1,0,0,1,0.333333333333333
outside,Park dominant,Plateau,2021,full,1,0,0,0,1,0,0,
outside,Park dominant,Plateau,2022,full,1,0,0,0,1,0,0,
