cell,event_year,SESU_ID,landscape_group,park_side,signed_distance_km,governance_profile_at_event,postevent_class,classification_reason,side,cropland_fraction_year_minus1,cropland_fraction_year0,cropland_fraction_year_plus1,cropland_fraction_year_plus2,cropland_fraction_year_plus3,right_censored_by_calendar,in_5km,in_10km,in_20km
19144,2003,1,Depression,outside,51.90857421875,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
19600,2003,1,Depression,outside,52.1727890625,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
21289,2003,1,Depression,outside,50.746921875,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
22273,2003,1,Depression,outside,48.43810546875,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
23941,2003,1,Depression,outside,47.32071484375,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
24865,2003,1,Depression,outside,46.76804296875,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
25323,2003,1,Depression,outside,47.18315234375,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
25741,2003,1,Depression,outside,45.59879296875,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
26608,2003,1,Depression,outside,44.01136328125,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
26651,2003,1,Depression,outside,44.6794140625,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
28072,2003,1,Depression,outside,41.50301171875,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
31535,2003,1,Depression,outside,38.61670703125,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
32405,2003,1,Depression,outside,38.34383984375,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
35511,2003,1,Depression,outside,39.1950234375,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
39959,2003,1,Depression,outside,42.08622265625,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
42213,2003,1,Depression,outside,33.81198046875,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
43523,2003,1,Depression,outside,44.24081640625,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
50243,2003,1,Depression,outside,33.871078125,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
76241,2003,1,Depression,inside,-1.41421362304688,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,inside,,,,,,FALSE,TRUE,TRUE,TRUE
76685,2003,1,Depression,inside,-0.707106811523437,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,inside,,,,,,FALSE,TRUE,TRUE,TRUE
78469,2003,1,Depression,inside,-0.707106811523437,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,inside,,,,,,FALSE,TRUE,TRUE,TRUE
79805,2003,1,Depression,outside,0.5,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,TRUE,TRUE,TRUE
83824,2003,1,Depression,outside,2.5,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,TRUE,TRUE,TRUE
86057,2003,1,Depression,outside,1.80277563476563,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,TRUE,TRUE,TRUE
86950,2003,1,Depression,outside,0.707106811523437,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,TRUE,TRUE,TRUE
87841,2003,1,Depression,inside,-1.11803393554687,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,inside,,,,,,FALSE,TRUE,TRUE,TRUE
98893,2003,1,Depression,outside,49.00255078125,Neither actor dominant,missing/uncertain,annual AFCD cropland-fraction source unavailable; event-year raster alone is insufficient,outside,,,,,,FALSE,FALSE,FALSE,FALSE
