SESU_ID,side,eligible_cells,events,cell_years,group_years,boundary_center_km,outcome,design_membership,median_abs_smd,max_abs_smd,maximum_overlap_with_another_center
1,inside,12836,497,277997,22,35,tree_cover_loss,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
1,outside,13632,949,289055,22,35,tree_cover_loss,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
3,inside,5798,107,127079,22,35,tree_cover_loss,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
3,outside,5394,28,118553,22,35,tree_cover_loss,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
1,inside,12836,325,279609,22,35,agriculture,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
1,outside,13632,634,294616,22,35,agriculture,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
3,inside,5798,1,127543,22,35,agriculture,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
3,outside,5394,0,118668,22,35,agriculture,dense;non_adjacent,0.0330535222156573,0.22828181199019,0.594478071572688
1,inside,13126,122454,288772,22,40,fire,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
1,outside,14417,157732,317174,22,40,fire,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
3,inside,5638,55418,124036,22,40,fire,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
3,outside,5537,68517,121814,22,40,fire,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
1,inside,13126,706,281418,22,40,tree_cover_loss,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
1,outside,14417,860,308006,22,40,tree_cover_loss,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
3,inside,5638,79,123753,22,40,tree_cover_loss,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
3,outside,5537,21,121730,22,40,tree_cover_loss,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
1,inside,13126,623,283094,22,40,agriculture,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
1,outside,14417,591,312633,22,40,agriculture,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
3,inside,5638,0,124036,22,40,agriculture,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
3,outside,5537,0,121814,22,40,agriculture,dense;round_number;historical,0.0545979619574756,0.272920879498871,0.603284836994601
1,inside,13610,141815,299420,22,45,fire,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
