record_type,outcome,profile,omitted_episode,estimate,standard_error,conf_low,conf_high,fit_status,episode_id
profile,agriculture,Park dominant,SESU1_2013_2016,-0.298392132103013,0.168535801401887,-0.628716232956306,0.0319319687502806,valid,
profile,fire,Neither actor dominant,SESU1_2013_2016,0.170292313873617,0.0298551296324382,0.111777335040263,0.22880729270697,strict_valid,
profile,fire,Militia dominant,SESU1_2013_2016,-0.036399542773969,0.0399976573333856,-0.114793510613379,0.0419944250654412,strict_valid,
profile,fire,Park dominant,SESU1_2013_2016,0.0678365142978425,0.0306659685254854,0.00773232043685222,0.127940708158833,strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU1_2013_2016,-0.868920185343999,0.229478301863294,-1.31868939222947,-0.419150978458532,valid,
profile,tree_cover_loss,Militia dominant,SESU1_2013_2016,-0.683380177704,0.294941848594401,-1.26145557848269,-0.105304776925308,valid,
profile,tree_cover_loss,Park dominant,SESU1_2013_2016,-1.43793311336497,0.261725824577359,-1.95090630336064,-0.924959923369294,valid,
profile,agriculture,Neither actor dominant,SESU1_2017_2022,0.250443546310827,0.195438622720092,-0.132609115408665,0.633496208030319,valid,
profile,agriculture,Militia dominant,SESU1_2017_2022,0.183402506355545,0.122952805864847,-0.0575805649377008,0.424385577648791,valid,
profile,agriculture,Park dominant,SESU1_2017_2022,-0.206597493209811,0.298046562654476,-0.790758021728545,0.377563035308923,valid,
profile,fire,Neither actor dominant,SESU1_2017_2022,0.17010149055953,0.026093837192881,0.118958509443032,0.221244471676029,strict_valid,
profile,fire,Militia dominant,SESU1_2017_2022,0.0103291796782114,0.0289576937381382,-0.0464268571238806,0.0670852164803033,strict_valid,
profile,fire,Park dominant,SESU1_2017_2022,-0.0324304040269076,0.0343030316169932,-0.0996631105567531,0.0348023025029379,strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU1_2017_2022,-0.794973521875728,0.212323338939499,-1.21111961927444,-0.37882742447702,valid,
profile,tree_cover_loss,Militia dominant,SESU1_2017_2022,-0.858182233159424,0.310211643385853,-1.46618588178068,-0.250178584538169,valid,
profile,tree_cover_loss,Park dominant,SESU1_2017_2022,-1.60637180447646,0.562491135270915,-2.70883417123051,-0.503909437722424,valid,
profile,agriculture,Neither actor dominant,SESU3_2001_2003,0.296770753004598,0.250794782343565,-0.194777987899351,0.788319493908548,valid,
profile,agriculture,Militia dominant,SESU3_2001_2003,0.229363381355879,0.137891202070056,-0.0408984084863658,0.499625171198123,valid,
profile,agriculture,Park dominant,SESU3_2001_2003,-0.339746968066689,0.155263686222736,-0.64405820117018,-0.0354357349631977,valid,
profile,fire,Neither actor dominant,SESU3_2001_2003,0.179469408119261,0.0331364189102254,0.114523220478588,0.244415595759935,strict_valid,
profile,fire,Militia dominant,SESU3_2001_2003,0.0107152931988337,0.0331020464536789,-0.0541635256649488,0.0755941120626161,strict_valid,
profile,fire,Park dominant,SESU3_2001_2003,0.0678345398171318,0.0306380880963765,0.00778499059306861,0.127884089041195,strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU3_2001_2003,-0.890383567803784,0.241321207046726,-1.3633644423211,-0.417402693286467,valid,
profile,tree_cover_loss,Militia dominant,SESU3_2001_2003,-0.924187757744403,0.312118292930664,-1.53592837080463,-0.312447144684179,valid,
profile,tree_cover_loss,Park dominant,SESU3_2001_2003,-1.44166694965313,0.263474405841755,-1.95806729595106,-0.925266603355204,valid,
profile,agriculture,Neither actor dominant,SESU3_2004_2006,0.28941640948053,0.227416274154218,-0.156311297360024,0.735144116321084,valid,
profile,agriculture,Militia dominant,SESU3_2004_2006,0.225619589337159,0.153415742298031,-0.0750697402284591,0.526308918902778,valid,
profile,agriculture,Park dominant,SESU3_2004_2006,-0.344003722710292,0.158033036210951,-0.653742782051269,-0.0342646633693147,valid,
profile,fire,Neither actor dominant,SESU3_2004_2006,0.170300774760788,0.0300917664428709,,,finite_not_strict_valid,
profile,fire,Militia dominant,SESU3_2004_2006,0.0436353076555547,0.0376138445545359,,,finite_not_strict_valid,
profile,fire,Park dominant,SESU3_2004_2006,0.0678557998163389,0.0309098789603671,,,finite_not_strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU3_2004_2006,-0.855449052095012,0.227880399636589,-1.30208642816532,-0.408811676024702,valid,
profile,tree_cover_loss,Militia dominant,SESU3_2004_2006,-0.922786412939785,0.341959669683085,-1.59301504968385,-0.252557776195725,valid,
profile,tree_cover_loss,Park dominant,SESU3_2004_2006,-1.43340374289645,0.262267007687656,-1.94743763229734,-0.919369853495551,valid,
profile,agriculture,Neither actor dominant,SESU3_2007_2010,0.301025509011285,0.25949942217609,-0.207584012462806,0.809635030485376,valid,
profile,agriculture,Militia dominant,SESU3_2007_2010,0.232510378539415,0.138515810639699,-0.0389756216037658,0.503996378682595,valid,
profile,agriculture,Park dominant,SESU3_2007_2010,-0.33676255224067,0.154534250546273,-0.639644117689253,-0.0338809867920862,valid,
profile,fire,Neither actor dominant,SESU3_2007_2010,0.212427581267919,0.034472816084887,0.144862103295868,0.279993059239971,strict_valid,
profile,fire,Militia dominant,SESU3_2007_2010,0.0107248583348014,0.0332228075423329,-0.0543906479134766,0.0758403645830795,strict_valid,
profile,fire,Park dominant,SESU3_2007_2010,0.0678433091898947,0.030750246784592,0.00757393297637574,0.128112685403414,strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU3_2007_2010,-0.794650818066466,0.295070725694822,-1.37297881332041,-0.216322822812518,valid,
profile,tree_cover_loss,Militia dominant,SESU3_2007_2010,-0.867263985634305,0.315675220185065,-1.48597604800878,-0.248551923259827,valid,
profile,tree_cover_loss,Park dominant,SESU3_2007_2010,-1.41700483570889,0.26789415257178,-1.94206772641846,-0.891941944999323,valid,
profile,agriculture,Neither actor dominant,SESU3_2011_2012,0.29364264691935,0.226023431297869,-0.149355138086636,0.736640431925336,valid,
profile,agriculture,Militia dominant,SESU3_2011_2012,0.229372002081345,0.136995291657517,-0.0391338356189494,0.49787783978164,valid,
profile,agriculture,Park dominant,SESU3_2011_2012,-0.337736327542295,0.166708885700553,-0.664479739418184,-0.0109929156664055,valid,
profile,fire,Neither actor dominant,SESU3_2011_2012,0.170255618781143,0.0289267992941282,0.113560133976634,0.226951103585653,strict_valid,
profile,fire,Militia dominant,SESU3_2011_2012,0.0106365923291727,0.0321017387146912,-0.0522816593927372,0.0735548440510826,strict_valid,
profile,fire,Park dominant,SESU3_2011_2012,0.101296503192737,0.0318839059019441,0.0388051959384622,0.163787810447011,strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU3_2011_2012,-0.920395560125188,0.225646098891921,-1.36265378720532,-0.478137333045061,valid,
profile,tree_cover_loss,Militia dominant,SESU3_2011_2012,-0.955517660029929,0.308686991745722,-1.56053304634756,-0.350502273712301,valid,
profile,tree_cover_loss,Park dominant,SESU3_2011_2012,-1.60737691987157,0.280522850047982,-2.15719160280614,-1.05756223693699,valid,
profile,agriculture,Neither actor dominant,SESU3_2013_2015,0.289422093730729,0.227416356577311,-0.156305774656118,0.735149962117576,valid,
profile,agriculture,Militia dominant,SESU3_2013_2015,0.225627082881182,0.153415779600392,-0.0750623197957206,0.526316485558085,valid,
profile,agriculture,Park dominant,SESU3_2013_2015,-0.343997986418955,0.158033194117466,-0.653737355251015,-0.0342586175868953,valid,
profile,fire,Neither actor dominant,SESU3_2013_2015,0.170262333770614,0.0290790509663816,0.113268441171901,0.227256226369326,strict_valid,
profile,fire,Militia dominant,SESU3_2013_2015,0.0555989804329396,0.036805674742663,-0.0165388164893754,0.127736777355255,strict_valid,
profile,fire,Park dominant,SESU3_2013_2015,0.0677716283076598,0.0298659465849779,0.00923544863690611,0.126307807978413,strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU3_2013_2015,-0.862676846712021,0.23107057135502,-1.31556684445495,-0.409786848969089,valid,
profile,tree_cover_loss,Militia dominant,SESU3_2013_2015,-0.942030417990687,0.358595633744499,-1.64486494514322,-0.239195890838153,valid,
profile,tree_cover_loss,Park dominant,SESU3_2013_2015,-1.43583392890127,0.262935289838535,-1.9511776272494,-0.920490230553143,valid,
profile,agriculture,Neither actor dominant,SESU3_2016_2022,0.247052850949277,0.207872279892976,-0.160369331025186,0.654475032923739,valid,
profile,agriculture,Militia dominant,SESU3_2016_2022,0.1797943628124,0.126459885196667,-0.0680624576621359,0.427651183286937,valid,
profile,agriculture,Park dominant,SESU3_2016_2022,-0.397788445306069,0.18572985805089,-0.761812277939551,-0.0337646126725878,valid,
profile,fire,Neither actor dominant,SESU3_2016_2022,0.17031970964634,0.0306663151698884,0.110214836374805,0.230424582917876,strict_valid,
