run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio,specification,lag,transition_years_excluded
lag2__agriculture,agriculture,Neither actor dominant,0.30999083439695,0.143749226803173,0.0282475270572498,0.591734141736649,1.36341261757606,lag2,2,0
lag2__agriculture,agriculture,Militia dominant,0.125330358149119,0.212905585178301,-0.291956920907776,0.542617637206014,1.1335228597332,lag2,2,0
lag2__agriculture,agriculture,Park dominant,-0.593885295474136,0.136536522061872,-0.861491961289764,-0.326278629658508,0.552177737960158,lag2,2,0
exclude_first_posttransition__fire,fire,Neither actor dominant,0.173273854011002,0.0305787349610481,0.113340634794552,0.233207073227452,1.18919172541964,exclude_first_posttransition,0,1
exclude_first_posttransition__fire,fire,Militia dominant,0.0205272530055266,0.0380120835529554,-0.0539750617355933,0.0950295677466466,1.02073938608026,exclude_first_posttransition,0,1
exclude_first_posttransition__fire,fire,Park dominant,0.0743459862704175,0.0327608845921608,0.0101358323681092,0.138556140172726,1.07717943032463,exclude_first_posttransition,0,1
exclude_first_posttransition__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.883269657686909,0.260665865000751,-1.39416536508736,-0.372373950286457,0.413428928283364,exclude_first_posttransition,0,1
exclude_first_posttransition__tree_cover_loss,tree_cover_loss,Militia dominant,-0.989725358353484,0.375310477237343,-1.72532037675922,-0.254130339947752,0.371678755471208,exclude_first_posttransition,0,1
exclude_first_posttransition__tree_cover_loss,tree_cover_loss,Park dominant,-1.51589846135428,0.307023984750879,-2.11765441385598,-0.914142508852586,0.219610784379946,exclude_first_posttransition,0,1
exclude_first_posttransition__agriculture,agriculture,Neither actor dominant,0.339162009249956,0.246867007287883,-0.144688434005481,0.823012452505394,1.40377075063776,exclude_first_posttransition,0,1
exclude_first_posttransition__agriculture,agriculture,Militia dominant,0.311372596190922,0.187873211590112,-0.0568521321855702,0.679597324567415,1.36529783119858,exclude_first_posttransition,0,1
exclude_first_posttransition__agriculture,agriculture,Park dominant,-0.412610269924235,0.159326687840675,-0.724884839868013,-0.100335699980456,0.661920202775782,exclude_first_posttransition,0,1
exclude_first_two_posttransition__fire,fire,Neither actor dominant,0.195582847027121,0.0340227100190118,0.128899560733408,0.262266133320834,1.21601953335239,exclude_first_two_posttransition,0,2
exclude_first_two_posttransition__fire,fire,Militia dominant,0.00871036251623739,0.05291514985721,-0.0950014254404339,0.112422150472909,1.00874840810722,exclude_first_two_posttransition,0,2
exclude_first_two_posttransition__fire,fire,Park dominant,0.0978864348007782,0.036925208963803,0.0255143551101088,0.170258514491448,1.1028375340323,exclude_first_two_posttransition,0,2
exclude_first_two_posttransition__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.757696773398002,0.313269910608858,-1.37169451563145,-0.143699031164559,0.468744810169128,exclude_first_two_posttransition,0,2
exclude_first_two_posttransition__tree_cover_loss,tree_cover_loss,Militia dominant,-0.848076125563855,0.520895053136953,-1.86901166943736,0.17285941830965,0.428238016111346,exclude_first_two_posttransition,0,2
exclude_first_two_posttransition__tree_cover_loss,tree_cover_loss,Park dominant,-1.46186147566887,0.480266255511407,-2.40316603946114,-0.520556911876599,0.231804374665366,exclude_first_two_posttransition,0,2
exclude_first_two_posttransition__agriculture,agriculture,Neither actor dominant,0.308727536645883,0.304580723528914,-0.28823971185594,0.905694785147706,1.36169130897407,exclude_first_two_posttransition,0,2
exclude_first_two_posttransition__agriculture,agriculture,Militia dominant,0.315308307112713,0.236997642960487,-0.149198537510725,0.779815151736151,1.37068183677934,exclude_first_two_posttransition,0,2
exclude_first_two_posttransition__agriculture,agriculture,Park dominant,-0.377019870304979,0.175456183264834,-0.720907670368912,-0.0331320702410456,0.685902444669851,exclude_first_two_posttransition,0,2
