run_id,outcome,profile_comparison,estimate,standard_error,conf_low,conf_high,odds_ratio,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
domain_5km__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.492574057692721,0.391087864700438,-0.273944071910811,1.25909218729625,1.63652330839956,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_5km__agriculture,agriculture,Neither actor dominant minus Militia dominant,-0.132467259041905,0.325281112390062,-0.770006524177551,0.505072006093741,0.87593161247694,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_5km__agriculture,agriculture,Neither actor dominant minus Park dominant,0.44469922632931,0.315726025424095,-0.174112412483894,1.06351086514251,1.56002091204603,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_5km__agriculture,agriculture,Militia dominant minus Park dominant,0.577166485371215,0.276600133637907,0.0350401853219516,1.11929278542048,1.78098482783906,directly_matched,tau025,5,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_5km
domain_20km__fire,fire,Neither actor dominant minus Militia dominant,0.162311662469581,0.0362848569723522,,,1.17622676994133,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_20km__fire,fire,Neither actor dominant minus Park dominant,0.0604511491286101,0.0347328010775604,,,1.06231570125505,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_20km__fire,fire,Militia dominant minus Park dominant,-0.101860513340971,0.0367372776079873,,,0.903155521029362,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_20km__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,0.414045357271192,0.415474200405632,-0.400269112029423,1.22835982657181,1.51292574751158,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_20km__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.946349619858375,0.361094138744758,0.238618112890139,1.65408112682661,2.57628804282647,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_20km__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.532304262587183,0.467030535716558,-0.383058767097717,1.44766729227208,1.70285160858943,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
