run_id,outcome,model,fit_status,warning_messages,convergence_code,pdHess,maximum_absolute_gradient,model_matrix_rank,model_matrix_columns,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id,n_observations,rank,zero_corrected
transition_SESU1_2013_later__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.000238928674679784,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2013_later,,,
transition_SESU1_2013_later__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2013_later,44,4,23
transition_SESU1_2013_later__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU1_2013_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2013_later,44,4,23
transition_SESU1_2017_earlier__fire,fire,beta_binomial_logit,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00173942632418189,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2017_earlier,,,
transition_SESU1_2017_earlier__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2017_earlier,44,4,23
transition_SESU1_2017_earlier__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2017_earlier,44,4,23
transition_SESU1_2017_later__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.000507821642575124,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2017_later,,,
transition_SESU1_2017_later__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2017_later,44,4,23
transition_SESU1_2017_later__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU1_2017_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2017_later,44,4,23
transition_SESU3_2004_earlier__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.000238956347402564,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2004_earlier,,,
transition_SESU3_2004_earlier__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2004_earlier,44,4,23
transition_SESU3_2004_earlier__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2004_earlier,44,4,23
transition_SESU3_2004_later__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.000806554831159545,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2004_later,,,
transition_SESU3_2004_later__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2004_later,44,4,23
