run_id,outcome,model,fit_status,warning_messages,convergence_code,pdHess,maximum_absolute_gradient,model_matrix_rank,model_matrix_columns,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id,n_observations,rank,zero_corrected
transition_SESU3_2011_later__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2011_later,44,4,23
transition_SESU3_2011_later__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2011_later,44,4,23
transition_SESU3_2013_earlier__fire,fire,beta_binomial_logit,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00167009648409611,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2013_earlier,,,
transition_SESU3_2013_earlier__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2013_earlier,44,4,23
transition_SESU3_2013_earlier__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2013_earlier,44,4,23
transition_SESU3_2013_later__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.000362583895537227,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2013_later,,,
transition_SESU3_2013_later__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2013_later,44,4,23
transition_SESU3_2013_later__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2013_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2013_later,44,4,23
transition_SESU3_2016_earlier__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00077366698633341,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2016_earlier,,,
transition_SESU3_2016_earlier__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2016_earlier,44,4,23
transition_SESU3_2016_earlier__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2016_earlier,44,4,23
transition_SESU3_2016_later__fire,fire,beta_binomial_logit,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00188007114817168,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2016_later,,,
transition_SESU3_2016_later__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2016_later,44,4,23
transition_SESU3_2016_later__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2016_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2016_later,44,4,23
omit_SESU1_2001_2003__fire,fire,beta_binomial_logit,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00127581261227938,44,44,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2001_2003,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,omit_SESU1_2001_2003,,,
omit_SESU1_2001_2003__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2001_2003,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,omit_SESU1_2001_2003,41,4,22
omit_SESU1_2001_2003__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,primary,0,SESU1_2001_2003,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,omit_SESU1_2001_2003,41,4,23
