analysis,SESU_ID,side,year,governance_profile,n,y,outcome,landscape_group
persistence_corrected,3,inside,2003,Neither actor dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2003,Neither actor dominant,11987,4,agriculture,Plateau
annual_presence,3,inside,2003,Neither actor dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2004,Militia dominant,11987,0,agriculture,Plateau
first_crossing_full,3,inside,2004,Militia dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2004,Militia dominant,11987,0,agriculture,Plateau
first_crossing_restricted,3,inside,2004,Militia dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2004,Militia dominant,11987,0,agriculture,Plateau
persistence_corrected,3,inside,2004,Militia dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2004,Militia dominant,11987,4,agriculture,Plateau
annual_presence,3,inside,2004,Militia dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2005,Militia dominant,11987,0,agriculture,Plateau
first_crossing_full,3,inside,2005,Militia dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2005,Militia dominant,11987,0,agriculture,Plateau
first_crossing_restricted,3,inside,2005,Militia dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2005,Militia dominant,11987,0,agriculture,Plateau
persistence_corrected,3,inside,2005,Militia dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2005,Militia dominant,11987,4,agriculture,Plateau
annual_presence,3,inside,2005,Militia dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2006,Militia dominant,11987,0,agriculture,Plateau
first_crossing_full,3,inside,2006,Militia dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2006,Militia dominant,11987,0,agriculture,Plateau
first_crossing_restricted,3,inside,2006,Militia dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2006,Militia dominant,11987,0,agriculture,Plateau
persistence_corrected,3,inside,2006,Militia dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2006,Militia dominant,11987,4,agriculture,Plateau
annual_presence,3,inside,2006,Militia dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2007,Neither actor dominant,11987,0,agriculture,Plateau
first_crossing_full,3,inside,2007,Neither actor dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2007,Neither actor dominant,11987,0,agriculture,Plateau
first_crossing_restricted,3,inside,2007,Neither actor dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2007,Neither actor dominant,11987,0,agriculture,Plateau
persistence_corrected,3,inside,2007,Neither actor dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2007,Neither actor dominant,11987,4,agriculture,Plateau
annual_presence,3,inside,2007,Neither actor dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2008,Neither actor dominant,11987,0,agriculture,Plateau
first_crossing_full,3,inside,2008,Neither actor dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2008,Neither actor dominant,11987,0,agriculture,Plateau
first_crossing_restricted,3,inside,2008,Neither actor dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2008,Neither actor dominant,11987,0,agriculture,Plateau
persistence_corrected,3,inside,2008,Neither actor dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2008,Neither actor dominant,11987,4,agriculture,Plateau
annual_presence,3,inside,2008,Neither actor dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2009,Neither actor dominant,11987,0,agriculture,Plateau
first_crossing_full,3,inside,2009,Neither actor dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2009,Neither actor dominant,11987,0,agriculture,Plateau
first_crossing_restricted,3,inside,2009,Neither actor dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2009,Neither actor dominant,11987,0,agriculture,Plateau
