analysis,governance_profile,estimate,replicate
first_crossing_restricted,Neither actor dominant,0.298219812814638,31
first_crossing_restricted,Militia dominant,0.231021887070194,31
first_crossing_restricted,Park dominant,-0.518292023965495,31
persistence_corrected,Neither actor dominant,0.334540979156176,31
persistence_corrected,Militia dominant,0.19937142566074,31
persistence_corrected,Park dominant,-0.443264293238185,31
annual_presence,Neither actor dominant,-1.50401853742776,31
annual_presence,Militia dominant,-1.37923351977868,31
annual_presence,Park dominant,-1.41211915400886,31
first_crossing_full,Neither actor dominant,-0.0109252358538452,32
first_crossing_full,Militia dominant,-0.268243270190798,32
first_crossing_full,Park dominant,-0.529408956995611,32
first_crossing_restricted,Neither actor dominant,-0.0571652386263051,32
first_crossing_restricted,Militia dominant,-0.31903131714468,32
first_crossing_restricted,Park dominant,-0.498793177397305,32
persistence_corrected,Neither actor dominant,-0.0355537121101689,32
persistence_corrected,Militia dominant,-0.321883156643814,32
persistence_corrected,Park dominant,-0.548756800582099,32
annual_presence,Neither actor dominant,-2.11231863334743,32
annual_presence,Militia dominant,-1.93891637226045,32
annual_presence,Park dominant,-1.77381759285198,32
first_crossing_full,Neither actor dominant,0.131907372222814,33
first_crossing_full,Militia dominant,-0.146670571365951,33
first_crossing_full,Park dominant,-0.482195046038087,33
first_crossing_restricted,Neither actor dominant,0.0825826718135556,33
first_crossing_restricted,Militia dominant,-0.209866632982376,33
first_crossing_restricted,Park dominant,-0.404804648462124,33
persistence_corrected,Neither actor dominant,0.122734587161354,33
persistence_corrected,Militia dominant,-0.180946930251123,33
persistence_corrected,Park dominant,-0.455122961833281,33
annual_presence,Neither actor dominant,-1.76531248039743,33
annual_presence,Militia dominant,-1.68014511064763,33
annual_presence,Park dominant,-1.64577573047382,33
first_crossing_full,Neither actor dominant,0.516237840177596,34
first_crossing_full,Militia dominant,0.348861655957067,34
first_crossing_full,Park dominant,-0.163223017164479,34
first_crossing_restricted,Neither actor dominant,0.482513532141959,34
first_crossing_restricted,Militia dominant,0.313474470256907,34
first_crossing_restricted,Park dominant,-0.14378966873809,34
persistence_corrected,Neither actor dominant,0.531465067260294,34
persistence_corrected,Militia dominant,0.250452643857034,34
persistence_corrected,Park dominant,-0.0685966192711406,34
annual_presence,Neither actor dominant,-0.372724928122646,34
annual_presence,Militia dominant,-0.213853926156925,34
annual_presence,Park dominant,0.0808922264311297,34
first_crossing_full,Neither actor dominant,0.076449578214531,35
first_crossing_full,Militia dominant,0.000701785183066669,35
first_crossing_full,Park dominant,-0.574881245129126,35
first_crossing_restricted,Neither actor dominant,-0.00742468967265379,35
first_crossing_restricted,Militia dominant,-0.0882847630260963,35
first_crossing_restricted,Park dominant,-0.317430256672967,35
persistence_corrected,Neither actor dominant,0.0215152170428683,35
persistence_corrected,Militia dominant,-0.143139523818319,35
persistence_corrected,Park dominant,-0.290811732388307,35
annual_presence,Neither actor dominant,-0.707548712542644,35
annual_presence,Militia dominant,-0.561244292977934,35
annual_presence,Park dominant,-0.484032382335014,35
first_crossing_full,Neither actor dominant,0.345438156736851,36
first_crossing_full,Militia dominant,-0.00424425413142079,36
first_crossing_full,Park dominant,-0.429325043466832,36
first_crossing_restricted,Neither actor dominant,0.281745967393587,36
first_crossing_restricted,Militia dominant,-0.0704279229451612,36
first_crossing_restricted,Park dominant,-0.308783156635949,36
persistence_corrected,Neither actor dominant,0.292589118526207,36
persistence_corrected,Militia dominant,-0.0986532482961278,36
persistence_corrected,Park dominant,-0.297134410456434,36
annual_presence,Neither actor dominant,-0.359560864718078,36
annual_presence,Militia dominant,-0.28798184699213,36
annual_presence,Park dominant,-0.227214698183646,36
first_crossing_full,Neither actor dominant,-0.529681758213937,37
first_crossing_full,Militia dominant,-0.426212438221514,37
first_crossing_full,Park dominant,-0.54506567936962,37
first_crossing_restricted,Neither actor dominant,-0.53944887986279,37
first_crossing_restricted,Militia dominant,-0.436575329515431,37
first_crossing_restricted,Park dominant,-0.631285016812749,37
persistence_corrected,Neither actor dominant,-0.519488586084823,37
persistence_corrected,Militia dominant,-0.482763703953287,37
persistence_corrected,Park dominant,-0.61305093578096,37
annual_presence,Neither actor dominant,-2.11836147080938,37
annual_presence,Militia dominant,-2.06024993970416,37
annual_presence,Park dominant,-1.97255506728841,37
first_crossing_full,Neither actor dominant,0.489627602763357,38
first_crossing_full,Militia dominant,0.239219057184945,38
first_crossing_full,Park dominant,-0.535826206710221,38
first_crossing_restricted,Neither actor dominant,0.440157895715503,38
first_crossing_restricted,Militia dominant,0.18543200279501,38
first_crossing_restricted,Park dominant,-0.535000637373617,38
persistence_corrected,Neither actor dominant,0.57503629164954,38
persistence_corrected,Militia dominant,0.171674178284454,38
persistence_corrected,Park dominant,-0.60700508786152,38
annual_presence,Neither actor dominant,-0.175210371274649,38
annual_presence,Militia dominant,-0.0868621883933872,38
annual_presence,Park dominant,-0.114901677396169,38
first_crossing_full,Neither actor dominant,0.260162139741907,39
first_crossing_full,Militia dominant,0.363857470298255,39
first_crossing_full,Park dominant,-0.282569259406812,39
first_crossing_restricted,Neither actor dominant,0.202304136681907,39
first_crossing_restricted,Militia dominant,0.301468004644907,39
first_crossing_restricted,Park dominant,-0.223822286949522,39
persistence_corrected,Neither actor dominant,0.251219792971181,39
persistence_corrected,Militia dominant,0.248035610152487,39
persistence_corrected,Park dominant,-0.178342706735804,39
annual_presence,Neither actor dominant,-1.5052999717693,39
annual_presence,Militia dominant,-1.34148675585515,39
annual_presence,Park dominant,-1.33341532686027,39
first_crossing_full,Neither actor dominant,0.963761446319149,40
first_crossing_full,Militia dominant,0.505273565187713,40
first_crossing_full,Park dominant,-0.367058038153794,40
first_crossing_restricted,Neither actor dominant,0.867815078306615,40
first_crossing_restricted,Militia dominant,0.392374807882628,40
first_crossing_restricted,Park dominant,-0.206282727237223,40
persistence_corrected,Neither actor dominant,0.97998667968563,40
persistence_corrected,Militia dominant,0.332215541409553,40
persistence_corrected,Park dominant,-0.215390956412803,40
annual_presence,Neither actor dominant,-1.21707822566909,40
annual_presence,Militia dominant,-1.06403817048145,40
annual_presence,Park dominant,-0.818871202544169,40
first_crossing_full,Neither actor dominant,0.469937357863848,41
first_crossing_full,Militia dominant,-0.0270365197559458,41
first_crossing_full,Park dominant,-0.787653814689938,41
first_crossing_restricted,Neither actor dominant,0.383446339664971,41
first_crossing_restricted,Militia dominant,-0.125399019651695,41
first_crossing_restricted,Park dominant,-0.628048233412142,41
persistence_corrected,Neither actor dominant,0.411410584221414,41
persistence_corrected,Militia dominant,-0.117332680602145,41
persistence_corrected,Park dominant,-0.658050506345929,41
