cell,SESU_ID,signed_distance_km,side,event_year,x_m,y_m,in_10km,old_event_year,old_side,old_distance,old_in_10km,matches
3310,1,75.3923046875,outside,2009,422250,9134250,FALSE,2009,outside,75.3923046875,FALSE,TRUE
3402,1,70.515953125,outside,2013,468250,9134250,FALSE,2013,outside,70.515953125,FALSE,TRUE
3441,1,70.64346875,outside,2017,487750,9134250,FALSE,2017,outside,70.64346875,FALSE,TRUE
3443,1,70.586828125,outside,2004,488750,9134250,FALSE,2004,outside,70.586828125,FALSE,TRUE
3445,1,70.5443125,outside,2018,489750,9134250,FALSE,2018,outside,70.5443125,FALSE,TRUE
3446,1,70.528359375,outside,2022,490250,9134250,FALSE,2022,outside,70.528359375,FALSE,TRUE
3447,1,70.515953125,outside,2016,490750,9134250,FALSE,2016,outside,70.515953125,FALSE,TRUE
3448,1,70.50709375,outside,2017,491250,9134250,FALSE,2017,outside,70.50709375,FALSE,TRUE
3450,1,70.5,outside,2016,492250,9134250,FALSE,2016,outside,70.5,FALSE,TRUE
3460,1,70.035703125,outside,2015,497250,9134250,FALSE,2015,outside,70.035703125,FALSE,TRUE
3756,1,75.116578125,outside,2005,421750,9133750,FALSE,2005,outside,75.116578125,FALSE,TRUE
3757,1,74.928296875,outside,2022,422250,9133750,FALSE,2022,outside,74.928296875,FALSE,TRUE
3888,1,70.1444921875,outside,2020,487750,9133750,FALSE,2020,outside,70.1444921875,FALSE,TRUE
3891,1,70.0642578125,outside,2004,489250,9133750,FALSE,2004,outside,70.0642578125,FALSE,TRUE
3894,1,70.0160703125,outside,2005,490750,9133750,FALSE,2005,outside,70.0160703125,FALSE,TRUE
3895,1,70.007140625,outside,2019,491250,9133750,FALSE,2019,outside,70.007140625,FALSE,TRUE
3896,1,70.0017890625,outside,2013,491750,9133750,FALSE,2013,outside,70.0017890625,FALSE,TRUE
3897,1,70,outside,2013,492250,9133750,FALSE,2013,outside,70,FALSE,TRUE
3908,1,69.4586171875,outside,2004,497750,9133750,FALSE,2004,outside,69.4586171875,FALSE,TRUE
3914,1,69.025359375,outside,2004,500750,9133750,FALSE,2004,outside,69.025359375,FALSE,TRUE
4204,1,74.4647578125,outside,2018,422250,9133250,FALSE,2018,outside,74.4647578125,FALSE,TRUE
4336,1,69.615015625,outside,2016,488250,9133250,FALSE,2016,outside,69.615015625,FALSE,TRUE
4342,1,69.5071953125,outside,2013,491250,9133250,FALSE,2013,outside,69.5071953125,FALSE,TRUE
4344,1,69.5,outside,2004,492250,9133250,FALSE,2004,outside,69.5,FALSE,TRUE
4345,1,69.5,outside,2014,492750,9133250,FALSE,2014,outside,69.5,FALSE,TRUE
4347,1,69.5071953125,outside,2015,493750,9133250,FALSE,2015,outside,69.5071953125,FALSE,TRUE
4354,1,69.050703125,outside,2021,497250,9133250,FALSE,2021,outside,69.050703125,FALSE,TRUE
4356,1,68.8839609375,outside,2014,498250,9133250,FALSE,2014,outside,68.8839609375,FALSE,TRUE
4780,1,69.218859375,outside,2020,486750,9132750,FALSE,2020,outside,69.218859375,FALSE,TRUE
4783,1,69.11584375,outside,2001,488250,9132750,FALSE,2001,outside,69.11584375,FALSE,TRUE
4788,1,69.0163046875,outside,2011,490750,9132750,FALSE,2011,outside,69.0163046875,FALSE,TRUE
4791,1,69,outside,2013,492250,9132750,FALSE,2013,outside,69,FALSE,TRUE
4793,1,69.0018125,outside,2015,493250,9132750,FALSE,2015,outside,69.0018125,FALSE,TRUE
4794,1,69.0072421875,outside,2014,493750,9132750,FALSE,2014,outside,69.0072421875,FALSE,TRUE
4795,1,69.0163046875,outside,2016,494250,9132750,FALSE,2016,outside,69.0163046875,FALSE,TRUE
5176,1,68.6476484375,outside,2004,461250,9132250,FALSE,2004,outside,68.6476484375,FALSE,TRUE
5203,1,68.9655703125,outside,2018,474750,9132250,FALSE,2018,outside,68.9655703125,FALSE,TRUE
5230,1,68.6166875,outside,2001,488250,9132250,FALSE,2001,outside,68.6166875,FALSE,TRUE
5235,1,68.516421875,outside,2018,490750,9132250,FALSE,2018,outside,68.516421875,FALSE,TRUE
5238,1,68.5,outside,2001,492250,9132250,FALSE,2001,outside,68.5,FALSE,TRUE
5239,1,68.5,outside,2001,492750,9132250,FALSE,2001,outside,68.5,FALSE,TRUE
5240,1,68.501828125,outside,2005,493250,9132250,FALSE,2005,outside,68.501828125,FALSE,TRUE
5241,1,68.507296875,outside,2004,493750,9132250,FALSE,2004,outside,68.507296875,FALSE,TRUE
5582,1,68.1652421875,outside,2006,440750,9131750,FALSE,2006,outside,68.1652421875,FALSE,TRUE
5623,1,68.148734375,outside,2016,461250,9131750,FALSE,2016,outside,68.148734375,FALSE,TRUE
5624,1,68.117546875,outside,2018,461750,9131750,FALSE,2018,outside,68.117546875,FALSE,TRUE
5650,1,68.46896875,outside,2021,474750,9131750,FALSE,2021,outside,68.46896875,FALSE,TRUE
5685,1,68,outside,2015,492250,9131750,FALSE,2015,outside,68,FALSE,TRUE
5686,1,68,outside,2004,492750,9131750,FALSE,2004,outside,68,FALSE,TRUE
5687,1,68.0018359375,outside,2014,493250,9131750,FALSE,2014,outside,68.0018359375,FALSE,TRUE
5971,1,77.2738671875,outside,2017,411750,9131250,FALSE,2017,outside,77.2738671875,FALSE,TRUE
6082,1,67.5018515625,outside,2004,467250,9131250,FALSE,2004,outside,67.5018515625,FALSE,TRUE
